80,0
4	232.60,101.7,264.3	72.69,31.4,82.9	3201.02,3189,3240	4450
5	229.38,223.6,246.6	71.65,69.8,77.1	3202.19,3196,3204	1050
6	247.53,245.2,250.1	77.47,76.7,78.3	3195.83,3195,3197	300
7	51.85,51.4,102.4	15.94,15.8,31.6	3255.08,3241,3257	10000
8	233.26,200.9,266.2	72.89,62.6,83.4	3200.82,3193,3210	4500
9	228.78,219.1,245	71.46,68.5,76.6	3201.90,3197,3205	1050
10	249.45,248,251.7	78.07,77.6,78.8	3195.83,3195,3198	300
11	51.91,51.4,116.5	15.96,15.8,36	3255.03,3238,3257	10000
12	233.87,216.6,253.2	73.09,67.9,79.3	3200.66,3190,3207	4300
13	227.44,219.5,234.5	71.05,68.7,73.3	3202.00,3196,3205	1050
14	248.43,243.3,251.5	77.75,76.1,78.7	3196.17,3195,3198	300
15	51.90,48.1,108.5	15.96,14.8,33.5	3255.14,3239,3257	10000
16	233.73,222.4,253	73.04,69.4,79.2	3200.83,3190,3206	4300
17	228.83,224.2,239	71.48,70,74.7	3202.05,3199,3204	1050
18	246.65,240.2,251.1	77.17,75.1,78.6	3197.00,3195,3199	300
19	52.12,41.3,151.5	16.03,12.7,47	3254.89,3225,3257	10000
20	233.04,151.9,259.4	72.83,47.1,81.2	3200.67,3186,3226	4500
21	232.09,225.8,248.9	72.49,70.5,77.8	3202.05,3198,3205	1000
22	249.32,244.2,251.1	78.03,76.4,78.6	3195.33,3195,3197	300
23	52.11,44.5,155.5	16.03,13.7,48.2	3254.97,3228,3258	10000
80,5
4	229.00,101.3,264	71.76,31.3,83.1	3192.51,3177,3237	4450
5	226.70,220.4,240.8	71.01,69,75.6	3193.14,3186,3197	1050
6	241.27,239.1,243.1	75.68,75,76.3	3188.17,3187,3189	300
7	49.19,48.4,143.3	15.13,14.9,44.5	3254.74,3222,3256	10000
8	227.93,196,252.8	71.41,61.2,79.5	3192.93,3180,3203	5500
9	226.50,218.9,252.3	70.93,68.5,79	3193.86,3190,3196	1050
10	240.55,235.6,241.9	75.45,73.9,75.9	3188.67,3188,3189	300
11	48.78,48.4,54.6	15.00,14.9,16.8	3254.97,3252,3257	10000
12	230.54,218.5,248.5	72.24,68.4,78	3192.19,3186,3197	4400
13	227.60,221.8,239.5	71.30,69.4,75	3192.95,3183,3196	1050
14	244.46,242.2,248.5	76.72,76,78	3187.20,3186,3188	250
15	49.75,48.4,257.7	15.31,14.9,80.9	3254.58,3186,3256	10000
16	229.22,101.3,272.9	71.82,31.3,85.9	3192.84,3178,3237	4450
17	227.51,221.8,256.7	71.28,69.4,80.6	3192.40,3179,3196	1000
18	241.68,226.7,247.2	75.82,71,77.6	3188.50,3186,3193	300
19	49.46,48.4,195.4	15.21,14.9,61	3254.73,3204,3256	10000
20	229.63,100.4,281.8	71.96,31,88.7	3192.37,3178,3239	4450
21	228.87,221,243.7	71.69,69.2,76.3	3193.50,3191,3197	1000
22	241.38,233.5,244.4	75.73,73.2,76.7	3187.83,3186,3190	300
23	49.26,38.7,177.8	15.15,11.9,55.4	3254.76,3211,3256	10000
80,10
4	230.63,73.7,289.5	72.22,22.7,91.9	3194.98,3151,3249	4350
5	238.43,220.5,264.6	74.65,69,82.8	3194.85,3185,3200	1000
6	241.42,232.6,246.9	75.67,72.9,77.4	3191.17,3190,3192	300
7	49.91,38.7,228.9	15.35,11.9,71.6	3254.82,3198,3257	10000
8	231.63,142.5,306.1	72.52,44.2,96.7	3194.93,3166,3225	4350
9	235.37,222.2,265.6	73.71,69.5,83.1	3193.67,3181,3199	1050
10	243.48,240.6,247.5	76.32,75.4,77.6	3191.00,3190,3192	300
11	49.18,40.3,103.9	15.12,12.4,32.1	3255.05,3237,3257	10000
12	231.06,195.9,289.5	72.34,61.1,90.9	3195.02,3185,3207	4350
13	237.80,221,269.1	74.46,69.1,84.5	3194.25,3184,3199	1000
14	240.86,230.9,245.3	75.53,72.5,76.9	3189.57,3186,3192	350
15	49.03,46.2,65.2	15.07,14.2,20.1	3255.10,3246,3257	10000
16	231.41,217.4,292.3	72.45,68,92.5	3195.00,3160,3200	4350
17	231.67,221.5,262.6	72.57,69.3,82.2	3193.20,3183,3199	1000
18	240.12,228.9,243.7	75.25,71.6,76.4	3191.50,3189,3197	300
19	49.87,48.4,228.5	15.34,14.9,71.4	3254.88,3201,3257	10000
20	230.84,123.1,342.5	72.28,38.1,108.6	3195.25,3154,3233	4750
21	232.75,223.2,267.7	72.85,69.8,83.9	3195.57,3189,3199	1050
22	243.07,235.9,247.2	76.20,73.9,77.5	3190.67,3188,3193	300
23	49.46,42.6,148.8	15.21,13.1,46.2	3254.95,3222,3257	10000
80,15
