1	49.24,44.2,217.5,	15.27,13.7,70.1,	3230.09,3103,3232,	10040,
2	220.48,212.5,243.5,	71.15,68.4,78.9,	3100.17,3082,3107,	4000,
3	214.16,212.2,216.8,	68.97,68.3,69.9,	3105.76,3103,3108,	1000,
4	48.81,40.5,135.4,	15.13,12.6,42.9,	3230.46,3158,3232,	10000,
5	219.00,178.7,249,	70.64,57.1,80.9,	3101.62,3078,3131,	4000,
6	213.02,211.3,219.4,	68.58,68,70.8,	3106.44,3099,3108,	1000,
7	49.05,42.9,190.3,	15.21,13.3,60.9,	3230.41,3126,3232,	10000,
8	219.60,142.4,250.4,	70.86,45.1,81.4,	3100.61,3077,3159,	4000,
9	214.24,212.7,218.7,	69.00,68.5,70.5,	3105.48,3103,3107,	1000,
10	49.20,45.8,224.4,	15.26,14.2,72.6,	3230.27,3091,3232,	10000,
11	219.08,96.1,254.4,	70.68,30.1,82.6,	3101.21,3080,3193,	4000,
12	214.49,212.5,216.9,	69.10,68.4,69.9,	3104.80,3103,3107,	1000,
1	48.64,45.5,153.3,	15.07,14.1,48.6,	3230.67,3155,3232,	10000,
2	221.15,193.6,296.4,	70.88,61.6,96.7,	3121.15,3066,3143,	4000,
3	214.84,212.9,221.1,	68.75,68.1,70.9,	3125.72,3119,3127,	1000,
4	48.59,39,151.5,	15.06,12.1,47.9,	3230.70,3163,3232,	10000,
5	220.97,144.9,253.4,	70.82,45.8,81.7,	3121.23,3102,3165,	4000,
6	215.60,214.7,216.8,	69.00,68.7,69.4,	3125.36,3123,3127,	1000,
7	48.82,37.7,236.9,	15.14,11.7,76.2,	3230.49,3110,3232,	10000,
8	220.32,91.3,266,	70.61,28.5,85.7,	3121.95,3104,3205,	4040,
9	215.49,213.9,218,	68.96,68.4,69.8,	3125.88,3122,3128,	1000,
10	48.49,46.2,116.3,	15.02,14.3,36.5,	3230.80,3189,3232,	10000,
11	221.22,198.6,284.7,	70.89,63.3,92.6,	3121.84,3075,3139,	4000,
12	214.33,212.9,215.9,	68.57,68.1,69.1,	3126.36,3120,3127,	1000,
1	49.46,38.8,217.8,	15.31,12,69.5,	3235.54,3134,3239,	10040,
2	223.31,214.1,302.1,	71.39,68.3,98,	3129.21,3083,3136,	4000,
3	215.92,214.8,218.6,	68.90,68.5,69.8,	3134.44,3132,3136,	1000,
4	48.73,47.2,103.7,	15.07,14.6,32.5,	3236.08,3192,3239,	10000,
5	223.03,179.6,254,	71.30,56.9,81.6,	3129.25,3113,3157,	4000,
6	218.04,215.8,230.2,	69.64,68.9,73.8,	3132.08,3120,3135,	1000,
7	48.88,39.4,148.8,	15.12,12.2,46.9,	3235.83,3173,3239,	10000,
8	223.34,137.1,288.3,	71.41,43.1,93.3,	3129.03,3079,3183,	3600,
9	216.37,213.6,221,	69.09,68.1,70.7,	3132.52,3127,3137,	1000,
10	49.15,48.2,190.9,	15.21,14.9,60.7,	3235.42,3145,3238,	10000,
11	222.33,95.8,276.6,	71.11,29.9,89.3,	3128.25,3098,3207,	4000,
12	218.40,216.2,228.2,	69.78,69,73.1,	3130.24,3118,3134,	1000,
1	48.69,47.8,145.8,	15.07,14.8,46.2,	3233.75,3156,3235,	10000,
2	221.67,206.3,316.1,	71.52,65.9,103.4,	3100.49,3058,3131,	4000,
3	212.87,211.7,218.5,	68.71,68.3,70.9,	3098.84,3082,3101,	1000,
4	48.84,46.5,190.1,	15.14,14.4,60.7,	3230.58,3133,3235,	10000,
5	219.15,154.2,277.8,	71.22,48.9,92.1,	3078.21,3017,3154,	4000,
6	208.76,207.2,213.4,	68.80,68.3,70.5,	3035.28,3028,3038,	1000,
7	48.79,46.1,213.3,	15.16,14.3,70.4,	3225.67,3030,3227,	10000,
8	219.01,112.6,239.1,	71.10,35.5,78.2,	3082.14,3042,3172,	4000,
9	214.43,213.2,215.4,	69.39,69,69.7,	3090.76,3090,3091,	1000,
10	48.97,45.5,252.5,	15.21,14.1,82.9,	3226.65,3046,3230,	10000,
11	219.34,71,265.2,	71.17,22.1,88,	3084.26,3014,3214,	4040,
12	215.42,213.2,226.5,	69.80,69,73.9,	3087.16,3066,3091,	1000,
1	48.29,42.2,109.8,	14.99,13.1,34.6,	3226.54,3174,3228,	10000,
2	220.67,197,316.3,	71.73,63.5,105.3,	3078.07,3004,3103,	4000,
3	212.72,211.7,215,	68.92,68.6,69.7,	3087.08,3086,3088,	1000,
4	48.60,47.7,190,	15.09,14.8,61,	3225.11,3116,3227,	10000,
5	220.85,162.2,403.3,	71.88,51.9,138.7,	3076.07,2908,3126,	4000,
6	213.58,207.7,215.9,	68.68,66.9,69.5,	3110.52,3105,3112,	1000,
7	49.03,47.8,248.6,	15.21,14.8,80.9,	3230.08,3074,3232,	10000,
8	223.42,108,453.8,	72.25,33.8,162.8,	3097.84,2788,3196,	4000,
9	216.43,215.2,220.1,	69.58,69.2,70.8,	3111.04,3109,3114,	1000,
10	49.05,47.8,252.4,	15.21,14.8,81.7,	3232.02,3090,3235,	10000,
11	219.21,49.8,328.2,	71.03,15.4,108.7,	3090.50,2900,3234,	4040,
12	215.51,203.5,222,	68.77,65,71.1,	3134.32,3123,3136,	1000,
1	51.56,51,111.6,	15.98,15.8,35,	3230.87,3189,3232,	10000,
2	223.69,209.9,276.2,	71.98,67.5,90.1,	3108.51,3066,3115,	4000,
3	218.26,216.8,223.9,	70.12,69.6,72.1,	3113.16,3106,3115,	1000,
4	51.61,51,111.8,	16.00,15.8,35.1,	3230.92,3186,3233,	10000,
5	223.88,178.7,244.7,	72.05,56.9,79.3,	3108.17,3086,3141,	4000,
6	219.10,217.2,220.5,	70.41,69.8,70.9,	3112.44,3111,3115,	1000,
7	51.80,51,150.1,	16.06,15.8,47.5,	3230.77,3160,3233,	10000,
8	223.15,172,249.4,	71.81,54.6,81.3,	3108.67,3068,3151,	4000,
9	218.18,212.4,231.5,	70.10,68.2,74.4,	3113.36,3111,3115,	1000,
10	51.89,48.7,186.9,	16.09,15.1,59.7,	3230.68,3131,3233,	10000,
11	223.23,141.8,241.7,	71.84,44.8,78.1,	3108.43,3093,3167,	4000,
12	219.08,214.6,222.3,	70.42,69.1,71.6,	3111.88,3106,3114,	1000,
1	51.70,45.7,119.4,	16.03,14.2,37.6,	3230.40,3178,3232,	10000,
2	223.03,205.6,298,	71.90,66.2,98.5,	3103.28,3026,3114,	4000,
3	217.67,213.5,227.8,	70.04,68.7,73.6,	3108.36,3096,3111,	1000,
4	51.76,43.9,148.7,	16.05,13.6,47.2,	3230.57,3152,3232,	10000,
5	224.07,177.7,281.3,	72.22,56.7,91.6,	3103.67,3072,3135,	4000,
6	218.96,217.5,219.6,	70.48,70,70.7,	3107.04,3102,3109,	1000,
7	51.83,51,165.1,	16.07,15.8,52.4,	3230.55,3152,3232,	10000,
8	222.38,165.5,285.6,	71.65,52.5,92.8,	3104.71,3078,3153,	4000,
9	216.83,215.4,217.8,	69.75,69.3,70.1,	3109.36,3108,3111,	1000,
10	52.04,51,195.3,	16.14,15.8,62.6,	3230.40,3120,3232,	10000,
11	223.00,141.1,252.7,	71.87,44.6,81.7,	3103.91,3089,3164,	4000,
12	218.48,217.6,219.6,	70.32,70,70.7,	3107.60,3107,3109,	1000,
1	51.86,50.5,215.9,	16.15,15.7,70.1,	3217.84,3080,3220,	10040,
2	222.15,198.1,289.2,	72.31,64.3,97.1,	3073.78,2979,3082,	4000,
3	216.72,214.6,218.7,	70.40,69.7,71.1,	3079.16,3076,3081,	1000,
