"count","pow","lineColor"
"0","220.4","#AF0B0B"
"40","219.7","#AF0B0B"
"80","217.3","#AF0B0B"
"120","218.8","#AF0B0B"
"160","219.3","#AF0B0B"
"200","219.4","#AF0B0B"
"240","219","#AF0B0B"
"280","219","#AF0B0B"
"320","218.7","#AF0B0B"
"360","219.2","#AF0B0B"
"400","218.7","#AF0B0B"
"440","219","#AF0B0B"
"480","219.1","#AF0B0B"
"520","218.5","#AF0B0B"
"560","219","#AF0B0B"
"600","219.6","#AF0B0B"
"640","218.7","#AF0B0B"
"680","218.2","#AF0B0B"
"720","218.9","#AF0B0B"
"760","218.9","#AF0B0B"
"800","219.3","#AF0B0B"
"840","219.2","#AF0B0B"
"880","219","#AF0B0B"
"920","219","#AF0B0B"
"960","228.7","#AF0B0B"
"1000","52.9","#AF0B0B"
"1040","51.6","#AF0B0B"
"1080","51.3","#AF0B0B"
"1120","51.3","#AF0B0B"
"1160","51.3","#AF0B0B"
"1200","51.3","#AF0B0B"
"1240","51.3","#AF0B0B"
"1280","51.6","#AF0B0B"
"1320","51.3","#AF0B0B"
"1360","51.6","#AF0B0B"
"1400","51.6","#AF0B0B"
"1440","51.6","#AF0B0B"
"1480","51.3","#AF0B0B"
"1520","51.3","#AF0B0B"
"1560","51.3","#AF0B0B"
"1600","51.3","#AF0B0B"
"1640","51.3","#AF0B0B"
"1680","51.6","#AF0B0B"
"1720","51.9","#AF0B0B"
"1760","51.3","#AF0B0B"
"1800","51.6","#AF0B0B"
"1840","51.6","#AF0B0B"
"1880","51.3","#AF0B0B"
"1920","51.3","#AF0B0B"
"1960","51.6","#AF0B0B"
"2000","51.4","#AF0B0B"
"2040","51.3","#AF0B0B"
"2080","51.3","#AF0B0B"
"2120","51.3","#AF0B0B"
"2160","51.6","#AF0B0B"
"2200","51.6","#AF0B0B"
"2240","51.7","#AF0B0B"
"2280","51.3","#AF0B0B"
"2320","51.3","#AF0B0B"
"2360","51.6","#AF0B0B"
"2400","51.3","#AF0B0B"
"2440","51.3","#AF0B0B"
"2480","51.3","#AF0B0B"
"2520","51.3","#AF0B0B"
"2560","51.6","#AF0B0B"
"2600","51.3","#AF0B0B"
"2640","52","#AF0B0B"
"2680","51.3","#AF0B0B"
"2720","51.3","#AF0B0B"
"2760","51.6","#AF0B0B"
"2800","51.3","#AF0B0B"
"2840","51.6","#AF0B0B"
"2880","51.3","#AF0B0B"
"2920","51","#AF0B0B"
"2960","51.3","#AF0B0B"
"3000","51.3","#AF0B0B"
"3040","51.7","#AF0B0B"
"3080","51.6","#AF0B0B"
"3120","51.6","#AF0B0B"
"3160","51.3","#AF0B0B"
"3200","51.3","#AF0B0B"
"3240","51.6","#AF0B0B"
"3280","51.3","#AF0B0B"
"3320","51.3","#AF0B0B"
"3360","51.6","#AF0B0B"
"3400","51.3","#AF0B0B"
"3440","52","#AF0B0B"
"3480","51.3","#AF0B0B"
"3520","51.3","#AF0B0B"
"3560","51.3","#AF0B0B"
"3600","51.3","#AF0B0B"
