"count","curr","lineColor"
"0","70.6","#AF0B0B"
"40","70.5","#AF0B0B"
"80","70.3","#AF0B0B"
"120","69.9","#AF0B0B"
"160","69.3","#AF0B0B"
"200","69.8","#AF0B0B"
"240","69.4","#AF0B0B"
"280","70.1","#AF0B0B"
"320","70.2","#AF0B0B"
"360","70.1","#AF0B0B"
"400","70.2","#AF0B0B"
"440","70.2","#AF0B0B"
"480","69.6","#AF0B0B"
"520","69.8","#AF0B0B"
"560","70.1","#AF0B0B"
"600","70.5","#AF0B0B"
"640","69.7","#AF0B0B"
"680","69.5","#AF0B0B"
"720","72","#AF0B0B"
"760","70.4","#AF0B0B"
"800","70.6","#AF0B0B"
"840","70.4","#AF0B0B"
"880","74.5","#AF0B0B"
"920","70.4","#AF0B0B"
"960","70.1","#AF0B0B"
"1000","70","#AF0B0B"
"1040","78.1","#AF0B0B"
"1080","69.8","#AF0B0B"
"1120","69.6","#AF0B0B"
"1160","69.9","#AF0B0B"
"1200","70.1","#AF0B0B"
"1240","69.9","#AF0B0B"
"1280","69.7","#AF0B0B"
"1320","70.2","#AF0B0B"
"1360","70.3","#AF0B0B"
"1400","70","#AF0B0B"
"1440","70","#AF0B0B"
"1480","70.7","#AF0B0B"
"1520","70","#AF0B0B"
"1560","70.1","#AF0B0B"
"1600","70.5","#AF0B0B"
"1640","73.9","#AF0B0B"
"1680","69.9","#AF0B0B"
"1720","70","#AF0B0B"
"1760","69.9","#AF0B0B"
"1800","70.3","#AF0B0B"
"1840","69.4","#AF0B0B"
"1880","69.3","#AF0B0B"
"1920","69.8","#AF0B0B"
"1960","71","#AF0B0B"
"2000","70.3","#AF0B0B"
"2040","70.3","#AF0B0B"
"2080","71.9","#AF0B0B"
"2120","77","#AF0B0B"
"2160","76.8","#AF0B0B"
"2200","76.9","#AF0B0B"
"2240","77.4","#AF0B0B"
"2280","77.6","#AF0B0B"
"2320","77","#AF0B0B"
"2360","76.7","#AF0B0B"
"2400","76.9","#AF0B0B"
"2440","76.6","#AF0B0B"
"2480","77.6","#AF0B0B"
"2520","77","#AF0B0B"
"2560","76.8","#AF0B0B"
"2600","77","#AF0B0B"
"2640","76.7","#AF0B0B"
"2680","77.3","#AF0B0B"
"2720","77","#AF0B0B"
"2760","77","#AF0B0B"
"2800","77.4","#AF0B0B"
"2840","76.7","#AF0B0B"
"2880","77.8","#AF0B0B"
"2920","77.4","#AF0B0B"
"2960","77.4","#AF0B0B"
"3000","76","#AF0B0B"
"3040","69.8","#AF0B0B"
"3080","74.1","#AF0B0B"
"3120","69.7","#AF0B0B"
"3160","69.9","#AF0B0B"
"3200","69.5","#AF0B0B"
"3240","69.9","#AF0B0B"
"3280","69.6","#AF0B0B"
"3320","69.7","#AF0B0B"
"3360","69.9","#AF0B0B"
"3400","69.7","#AF0B0B"
"3440","70","#AF0B0B"
"3480","70","#AF0B0B"
"3520","70","#AF0B0B"
"3560","69.9","#AF0B0B"
"3600","69.9","#AF0B0B"
"3640","70.3","#AF0B0B"
"3680","70.3","#AF0B0B"
"3720","70.4","#AF0B0B"
"3760","70.3","#AF0B0B"
"3800","70.2","#AF0B0B"
"3840","70.6","#AF0B0B"
"3880","70.3","#AF0B0B"
"3920","70.4","#AF0B0B"
"3960","70.3","#AF0B0B"
"4000","70.2","#AF0B0B"
"4040","70.5","#AF0B0B"
"4080","70.2","#AF0B0B"
"4120","70.4","#AF0B0B"
"4160","70.6","#AF0B0B"
"4200","70.1","#AF0B0B"
"4240","70.6","#AF0B0B"
"4280","70.5","#AF0B0B"
"4320","70.2","#AF0B0B"
"4360","70.5","#AF0B0B"
"4400","70","#AF0B0B"
"4440","70.4","#AF0B0B"
"4480","70.5","#AF0B0B"
"4520","70.3","#AF0B0B"
"4560","70.6","#AF0B0B"
"4600","70","#AF0B0B"
"4640","70.2","#AF0B0B"
"4680","70.6","#AF0B0B"
"4720","70.2","#AF0B0B"
"4760","70.6","#AF0B0B"
"4800","70.4","#AF0B0B"
"4840","70.3","#AF0B0B"
"4880","70.6","#AF0B0B"
"4920","70.3","#AF0B0B"
"4960","81.3","#AF0B0B"
"5000","74","#AF0B0B"
"5040","70.2","#AF0B0B"
"5080","70.5","#AF0B0B"
"5120","70.1","#AF0B0B"
"5160","70.5","#AF0B0B"
"5200","70.8","#AF0B0B"
"5240","70.4","#AF0B0B"
"5280","70.5","#AF0B0B"
"5320","70.1","#AF0B0B"
"5360","70.1","#AF0B0B"
"5400","69.9","#AF0B0B"
"5440","70.2","#AF0B0B"
"5480","71.9","#AF0B0B"
"5520","70.3","#AF0B0B"
"5560","70.2","#AF0B0B"
"5600","70.6","#AF0B0B"
"5640","70.5","#AF0B0B"
"5680","70.5","#AF0B0B"
"5720","70.2","#AF0B0B"
"5760","70","#AF0B0B"
"5800","70.6","#AF0B0B"
"5840","70","#AF0B0B"
"5880","71.8","#AF0B0B"
"5920","70.2","#AF0B0B"
"5960","73.8","#AF0B0B"
"6000","70.4","#AF0B0B"
"6040","70.2","#AF0B0B"
"6080","70.4","#AF0B0B"
"6120","70.4","#AF0B0B"
"6160","72.2","#AF0B0B"
"6200","72.5","#AF0B0B"
"6240","70","#AF0B0B"
"6280","70.3","#AF0B0B"
"6320","70.4","#AF0B0B"
"6360","70","#AF0B0B"
"6400","70.6","#AF0B0B"
"6440","70.4","#AF0B0B"
"6480","70.2","#AF0B0B"
"6520","70.5","#AF0B0B"
"6560","70.4","#AF0B0B"
"6600","70","#AF0B0B"
"6640","70.4","#AF0B0B"
"6680","70.1","#AF0B0B"
"6720","70.2","#AF0B0B"
"6760","70.4","#AF0B0B"
"6800","71.4","#AF0B0B"
"6840","70.4","#AF0B0B"
"6880","69.9","#AF0B0B"
"6920","70.1","#AF0B0B"
"6960","70.1","#076969"
"7000","42.2","#076969"
"7040","16.1","#076969"
"7080","15.9","#076969"
"7120","15.8","#076969"
"7160","16","#076969"
"7200","15.9","#076969"
"7240","15.9","#076969"
"7280","15.9","#076969"
"7320","15.8","#076969"
"7360","15.8","#076969"
"7400","15.8","#076969"
"7440","15.9","#076969"
"7480","15.8","#076969"
"7520","15.8","#076969"
"7560","15.9","#076969"
"7600","15.8","#076969"
"7640","15.8","#076969"
"7680","15.8","#076969"
"7720","15.8","#076969"
"7760","15.9","#076969"
"7800","15.8","#076969"
"7840","16","#076969"
"7880","15.8","#076969"
"7920","15.9","#076969"
"7960","15.9","#076969"
"8000","15.8","#076969"
"8040","15.8","#076969"
"8080","15.8","#076969"
"8120","15.8","#076969"
"8160","15.8","#076969"
"8200","15.8","#076969"
"8240","15.8","#076969"
"8280","16.6","#076969"
"8320","15.8","#076969"
"8360","16","#076969"
"8400","15.8","#076969"
"8440","15.9","#076969"
"8480","15.8","#076969"
"8520","15.8","#076969"
"8560","15.8","#076969"
"8600","15.8","#076969"
"8640","15.8","#076969"
"8680","15.8","#076969"
"8720","15.9","#076969"
"8760","15.8","#076969"
"8800","15.7","#076969"
"8840","15.9","#076969"
"8880","15.8","#076969"
"8920","15.8","#076969"
"8960","15.8","#076969"
"9000","15.8","#076969"
"9040","15.8","#076969"
"9080","15.9","#076969"
"9120","15.8","#076969"
"9160","15.8","#076969"
"9200","16","#076969"
"9240","15.8","#076969"
"9280","15.9","#076969"
"9320","15.8","#076969"
"9360","15.9","#076969"
"9400","15.8","#076969"
"9440","15.8","#076969"
"9480","15.8","#076969"
"9520","15.8","#076969"
"9560","15.8","#076969"
"9600","15.7","#076969"
"9640","15.8","#076969"
"9680","15.8","#076969"
"9720","15.9","#076969"
"9760","15.8","#076969"
"9800","15.9","#076969"
"9840","15.8","#076969"
"9880","15.8","#076969"
"9920","15.8","#076969"
"9960","15.8","#076969"
"10000","15.8","#076969"
"10040","16.1","#076969"
"10080","15.8","#076969"
"10120","16.1","#076969"
"10160","15.8","#076969"
"10200","15.8","#076969"
"10240","15.8","#076969"
"10280","15.8","#076969"
"10320","15.8","#076969"
"10360","16.8","#076969"
"10400","15.8","#076969"
"10440","15.8","#076969"
"10480","15.7","#076969"
"10520","15.8","#076969"
"10560","15.9","#076969"
"10600","15.9","#076969"
"10640","15.8","#076969"
"10680","15.8","#076969"
"10720","15.8","#076969"
"10760","15.8","#076969"
"10800","15.8","#076969"
"10840","15.9","#076969"
"10880","15.7","#076969"
"10920","15.9","#076969"
"10960","15.8","#076969"
"11000","15.8","#076969"
"11040","15.8","#076969"
"11080","15.8","#076969"
"11120","15.8","#076969"
"11160","15.8","#076969"
"11200","15.8","#076969"
"11240","15.8","#076969"
"11280","15.8","#076969"
"11320","15.8","#076969"
"11360","15.8","#076969"
"11400","15.8","#076969"
"11440","15.8","#076969"
"11480","15.8","#076969"
"11520","15.7","#076969"
"11560","15.8","#076969"
"11600","15.7","#076969"
"11640","15.8","#076969"
"11680","15.9","#076969"
"11720","15.8","#076969"
"11760","15.8","#076969"
"11800","15.8","#076969"
"11840","15.8","#076969"
"11880","15.9","#076969"
"11920","15.8","#076969"
"11960","15.8","#076969"
"12000","15.8","#076969"
"12040","15.8","#076969"
"12080","15.8","#076969"
"12120","15.7","#076969"
"12160","15.8","#076969"
"12200","15.8","#076969"
"12240","15.8","#076969"
"12280","15.8","#076969"
"12320","15.8","#076969"
"12360","15.8","#076969"
"12400","15.8","#076969"
"12440","15.8","#076969"
"12480","15.8","#076969"
"12520","15.8","#076969"
"12560","15.8","#076969"
"12600","15.8","#076969"
"12640","15.8","#076969"
"12680","15.8","#076969"
"12720","15.8","#076969"
"12760","15.8","#076969"
"12800","15.8","#076969"
"12840","15.9","#076969"
"12880","15.8","#076969"
"12920","15.8","#076969"
"12960","15.8","#076969"
"13000","15.8","#076969"
"13040","15.8","#076969"
"13080","15.9","#076969"
"13120","15.7","#076969"
"13160","15.8","#076969"
"13200","15.9","#076969"
"13240","15.8","#076969"
"13280","15.8","#076969"
"13320","15.8","#076969"
"13360","15.8","#076969"
"13400","15.8","#076969"
"13440","15.7","#076969"
"13480","15.8","#076969"
"13520","15.7","#076969"
"13560","15.8","#076969"
"13600","15.7","#076969"
"13640","15.8","#076969"
"13680","15.8","#076969"
"13720","15.8","#076969"
"13760","15.8","#076969"
"13800","15.8","#076969"
"13840","15.8","#076969"
"13880","15.8","#076969"
"13920","15.8","#076969"
"13960","15.8","#076969"
"14000","15.8","#076969"
"14040","15.8","#076969"
"14080","15.8","#076969"
"14120","15.8","#076969"
"14160","15.8","#076969"
"14200","15.8","#076969"
"14240","15.7","#076969"
"14280","15.8","#076969"
"14320","15.7","#076969"
"14360","15.8","#076969"
"14400","15.8","#076969"
"14440","15.9","#076969"
"14480","15.8","#076969"
"14520","15.8","#076969"
"14560","15.8","#076969"
"14600","15.8","#076969"
"14640","16.1","#076969"
"14680","15.8","#076969"
"14720","15.9","#076969"
"14760","15.8","#076969"
"14800","15.8","#076969"
"14840","15.8","#076969"
"14880","16.3","#076969"
"14920","15.8","#076969"
"14960","15.8","#076969"
"15000","15.8","#076969"
"15040","15.8","#076969"
"15080","15.9","#076969"
"15120","15.8","#076969"
"15160","15.7","#076969"
"15200","15.8","#076969"
"15240","15.9","#076969"
"15280","15.8","#076969"
"15320","15.8","#076969"
"15360","15.8","#076969"
"15400","15.8","#076969"
"15440","15.8","#076969"
"15480","15.8","#076969"
"15520","15.8","#076969"
"15560","16","#076969"
"15600","15.7","#076969"
"15640","16.1","#076969"
"15680","15.8","#076969"
"15720","15.9","#076969"
"15760","15.8","#076969"
"15800","15.8","#076969"
"15840","15.8","#076969"
