"count","time","lineColor","label"
"1","10960","#AF0B0B","10960"
"2","4000","#076969","4000"
"3","1000","#AF550B","1000"
"4","10040","#AF0B0B","10040"
"5","4000","#076969","4000"
"6","1000","#AF550B","1000"
"7","10000","#AF0B0B","10000"
"8","4000","#076969","4000"
"9","1000","#AF550B","1000"
"10","10000","#AF0B0B","10000"
"11","3600","#076969","3600"
"12","1000","#AF550B","1000"
"13","10000","#AF0B0B","10000"
"14","4000","#076969","4000"
"15","1000","#AF550B","1000"
"16","4400","#AF0B0B","4400"
