"count","volt","lineColor"
"0","3103","#AF0B0B"
"40","3103","#AF0B0B"
"80","3102","#AF0B0B"
"120","3103","#AF0B0B"
"160","3088","#AF0B0B"
"200","3103","#AF0B0B"
"240","3099","#AF0B0B"
"280","3099","#AF0B0B"
"320","3103","#AF0B0B"
"360","3103","#AF0B0B"
"400","3104","#AF0B0B"
"440","3080","#AF0B0B"
"480","3103","#AF0B0B"
"520","3104","#AF0B0B"
"560","3103","#AF0B0B"
"600","3103","#AF0B0B"
"640","3103","#AF0B0B"
"680","3103","#AF0B0B"
"720","3104","#AF0B0B"
"760","3103","#AF0B0B"
"800","3103","#AF0B0B"
"840","3103","#AF0B0B"
"880","3103","#AF0B0B"
"920","3103","#AF0B0B"
"960","3058","#AF0B0B"
"1000","3225","#AF0B0B"
"1040","3231","#AF0B0B"
"1080","3230","#AF0B0B"
"1120","3229","#AF0B0B"
"1160","3230","#AF0B0B"
"1200","3231","#AF0B0B"
"1240","3229","#AF0B0B"
"1280","3229","#AF0B0B"
"1320","3229","#AF0B0B"
"1360","3230","#AF0B0B"
"1400","3230","#AF0B0B"
"1440","3230","#AF0B0B"
"1480","3230","#AF0B0B"
"1520","3229","#AF0B0B"
"1560","3231","#AF0B0B"
"1600","3231","#AF0B0B"
"1640","3230","#AF0B0B"
"1680","3228","#AF0B0B"
"1720","3230","#AF0B0B"
"1760","3231","#AF0B0B"
"1800","3229","#AF0B0B"
"1840","3231","#AF0B0B"
"1880","3230","#AF0B0B"
"1920","3230","#AF0B0B"
"1960","3230","#AF0B0B"
"2000","3231","#AF0B0B"
"2040","3231","#AF0B0B"
"2080","3229","#AF0B0B"
"2120","3229","#AF0B0B"
"2160","3229","#AF0B0B"
"2200","3230","#AF0B0B"
"2240","3231","#AF0B0B"
"2280","3229","#AF0B0B"
"2320","3229","#AF0B0B"
"2360","3231","#AF0B0B"
"2400","3230","#AF0B0B"
"2440","3230","#AF0B0B"
"2480","3230","#AF0B0B"
"2520","3228","#AF0B0B"
"2560","3231","#AF0B0B"
"2600","3230","#AF0B0B"
"2640","3231","#AF0B0B"
"2680","3230","#AF0B0B"
"2720","3230","#AF0B0B"
"2760","3229","#AF0B0B"
"2800","3230","#AF0B0B"
"2840","3230","#AF0B0B"
"2880","3229","#AF0B0B"
"2920","3231","#AF0B0B"
"2960","3231","#AF0B0B"
"3000","3231","#AF0B0B"
"3040","3231","#AF0B0B"
"3080","3229","#AF0B0B"
"3120","3228","#AF0B0B"
"3160","3229","#AF0B0B"
"3200","3230","#AF0B0B"
"3240","3231","#AF0B0B"
"3280","3229","#AF0B0B"
"3320","3228","#AF0B0B"
"3360","3231","#AF0B0B"
"3400","3229","#AF0B0B"
"3440","3231","#AF0B0B"
"3480","3229","#AF0B0B"
"3520","3231","#AF0B0B"
"3560","3231","#AF0B0B"
"3600","3229","#AF0B0B"
"3640","3231","#AF0B0B"
"3680","3228","#AF0B0B"
"3720","3230","#AF0B0B"
"3760","3230","#AF0B0B"
"3800","3231","#AF0B0B"
"3840","3229","#AF0B0B"
"3880","3228","#AF0B0B"
"3920","3229","#AF0B0B"
"3960","3229","#AF0B0B"
"4000","3231","#AF0B0B"
"4040","3230","#AF0B0B"
"4080","3230","#AF0B0B"
"4120","3229","#AF0B0B"
"4160","3229","#AF0B0B"
"4200","3229","#AF0B0B"
"4240","3229","#AF0B0B"
"4280","3229","#AF0B0B"
"4320","3230","#AF0B0B"
"4360","3228","#AF0B0B"
"4400","3229","#AF0B0B"
"4440","3230","#AF0B0B"
"4480","3230","#AF0B0B"
"4520","3231","#AF0B0B"
"4560","3231","#AF0B0B"
"4600","3231","#AF0B0B"
"4640","3231","#AF0B0B"
"4680","3230","#AF0B0B"
"4720","3228","#AF0B0B"
"4760","3229","#AF0B0B"
"4800","3231","#AF0B0B"
"4840","3231","#AF0B0B"
"4880","3230","#AF0B0B"
"4920","3230","#AF0B0B"
"4960","3229","#AF0B0B"
"5000","3230","#AF0B0B"
"5040","3228","#AF0B0B"
"5080","3229","#AF0B0B"
"5120","3229","#AF0B0B"
"5160","3230","#AF0B0B"
"5200","3231","#AF0B0B"
"5240","3231","#AF0B0B"
"5280","3230","#AF0B0B"
"5320","3231","#AF0B0B"
"5360","3229","#AF0B0B"
"5400","3230","#AF0B0B"
"5440","3229","#AF0B0B"
"5480","3230","#AF0B0B"
"5520","3230","#AF0B0B"
"5560","3228","#AF0B0B"
"5600","3229","#AF0B0B"
"5640","3230","#AF0B0B"
"5680","3228","#AF0B0B"
"5720","3229","#AF0B0B"
"5760","3229","#AF0B0B"
"5800","3229","#AF0B0B"
"5840","3230","#AF0B0B"
"5880","3230","#AF0B0B"
"5920","3231","#AF0B0B"
"5960","3229","#AF0B0B"
"6000","3229","#AF0B0B"
"6040","3230","#AF0B0B"
"6080","3230","#AF0B0B"
"6120","3227","#AF0B0B"
"6160","3231","#AF0B0B"
"6200","3229","#AF0B0B"
"6240","3230","#AF0B0B"
"6280","3229","#AF0B0B"
"6320","3228","#AF0B0B"
"6360","3228","#AF0B0B"
"6400","3230","#AF0B0B"
"6440","3229","#AF0B0B"
"6480","3230","#AF0B0B"
"6520","3227","#AF0B0B"
"6560","3230","#AF0B0B"
"6600","3230","#AF0B0B"
"6640","3230","#AF0B0B"
"6680","3230","#AF0B0B"
"6720","3231","#AF0B0B"
"6760","3231","#AF0B0B"
"6800","3228","#AF0B0B"
"6840","3231","#AF0B0B"
"6880","3229","#AF0B0B"
"6920","3228","#AF0B0B"
"6960","3230","#AF0B0B"
"7000","3231","#AF0B0B"
"7040","3229","#AF0B0B"
"7080","3229","#AF0B0B"
"7120","3228","#AF0B0B"
"7160","3229","#AF0B0B"
"7200","3229","#AF0B0B"
"7240","3230","#AF0B0B"
"7280","3229","#AF0B0B"
"7320","3230","#AF0B0B"
"7360","3230","#AF0B0B"
"7400","3229","#AF0B0B"
"7440","3230","#AF0B0B"
"7480","3229","#AF0B0B"
"7520","3229","#AF0B0B"
"7560","3230","#AF0B0B"
"7600","3230","#AF0B0B"
"7640","3231","#AF0B0B"
"7680","3230","#AF0B0B"
"7720","3230","#AF0B0B"
"7760","3229","#AF0B0B"
"7800","3230","#AF0B0B"
"7840","3228","#AF0B0B"
"7880","3230","#AF0B0B"
"7920","3229","#AF0B0B"
"7960","3229","#AF0B0B"
"8000","3230","#AF0B0B"
"8040","3231","#AF0B0B"
"8080","3229","#AF0B0B"
"8120","3228","#AF0B0B"
"8160","3229","#AF0B0B"
"8200","3231","#AF0B0B"
"8240","3230","#AF0B0B"
"8280","3230","#AF0B0B"
"8320","3231","#AF0B0B"
"8360","3228","#AF0B0B"
"8400","3229","#AF0B0B"
"8440","3229","#AF0B0B"
"8480","3229","#AF0B0B"
"8520","3230","#AF0B0B"
