"count","volt","lineColor"
"0","3096","#AF0B0B"
"50","3096","#AF0B0B"
"100","3096","#AF0B0B"
"150","3099","#AF0B0B"
"200","3096","#AF0B0B"
"250","3115","#AF0B0B"
"300","3219","#AF0B0B"
"350","3217","#AF0B0B"
"400","3216","#AF0B0B"
"450","3215","#AF0B0B"
"500","3216","#AF0B0B"
"550","3217","#AF0B0B"
"600","3217","#AF0B0B"
"650","3216","#AF0B0B"
"700","3215","#AF0B0B"
"750","3216","#AF0B0B"
"800","3216","#AF0B0B"
"850","3217","#AF0B0B"
"900","3216","#AF0B0B"
"950","3215","#AF0B0B"
"1000","3215","#AF0B0B"
"1050","3215","#AF0B0B"
"1100","3217","#AF0B0B"
"1150","3217","#AF0B0B"
"1200","3217","#AF0B0B"
"1250","3219","#AF0B0B"
"1300","3217","#AF0B0B"
"1350","3217","#AF0B0B"
"1400","3216","#AF0B0B"
"1450","3217","#AF0B0B"
"1500","3217","#AF0B0B"
"1550","3216","#AF0B0B"
"1600","3217","#AF0B0B"
"1650","3217","#AF0B0B"
"1700","3216","#AF0B0B"
"1750","3212","#AF0B0B"
"1800","3217","#AF0B0B"
"1850","3216","#AF0B0B"
"1900","3217","#AF0B0B"
"1950","3217","#AF0B0B"
"2000","3216","#AF0B0B"
"2050","3217","#AF0B0B"
"2100","3217","#AF0B0B"
"2150","3216","#AF0B0B"
"2200","3215","#AF0B0B"
"2250","3217","#AF0B0B"
"2300","3215","#AF0B0B"
"2350","3218","#AF0B0B"
"2400","3218","#AF0B0B"
"2450","3216","#AF0B0B"
"2500","3215","#AF0B0B"
"2550","3216","#AF0B0B"
"2600","3216","#AF0B0B"
"2650","3213","#AF0B0B"
"2700","3215","#AF0B0B"
"2750","3217","#AF0B0B"
"2800","3215","#AF0B0B"
"2850","3217","#AF0B0B"
"2900","3217","#AF0B0B"
"2950","3216","#AF0B0B"
"3000","3217","#AF0B0B"
"3050","3217","#AF0B0B"
"3100","3218","#AF0B0B"
"3150","3216","#AF0B0B"
"3200","3216","#AF0B0B"
"3250","3216","#AF0B0B"
"3300","3217","#AF0B0B"
"3350","3217","#AF0B0B"
"3400","3217","#AF0B0B"
"3450","3216","#AF0B0B"
"3500","3216","#AF0B0B"
"3550","3216","#AF0B0B"
"3600","3217","#AF0B0B"
"3650","3218","#AF0B0B"
"3700","3218","#AF0B0B"
"3750","3216","#AF0B0B"
"3800","3218","#AF0B0B"
"3850","3217","#AF0B0B"
"3900","3217","#AF0B0B"
"3950","3215","#AF0B0B"
"4000","3217","#AF0B0B"
"4050","3215","#AF0B0B"
"4100","3216","#AF0B0B"
"4150","3217","#AF0B0B"
"4200","3217","#AF0B0B"
"4250","3217","#AF0B0B"
"4300","3218","#AF0B0B"
