"count","time","lineColor","label"
"218","50","","50"
"219","5700","#AF0B0B","5700"
"220","400","#076969","400"
"221","10000","#AF550B","10000"
"222","4750","#098C09","4750"
"223","1000","#AF0B0B","1000"
"224","350","#076969","350"
"225","10000","#AF550B","10000"
"226","4850","#098C09","4850"
"227","1000","#AF0B0B","1000"
"228","400","#076969","400"
"229","10000","#AF550B","10000"
"230","4800","#098C09","4800"
"231","1050","#AF0B0B","1050"
"232","350","#076969","350"
"233","10000","#AF550B","10000"
"234","4800","#098C09","4800"
"235","1000","#AF0B0B","1000"
"236","400","#076969","400"
"237","10000","#AF550B","10000"
"238","4800","#098C09","4800"
"239","1000","#AF0B0B","1000"
"240","350","#076969","350"
"241","10000","#AF550B","10000"
"242","3000","#098C09","3000"
