"count","curr","lineColor"
"0","77.2","#AF0B0B"
"50","74.4","#AF0B0B"
"100","75.3","#AF0B0B"
"150","92.5","#AF0B0B"
"200","81.2","#AF0B0B"
"250","84.6","#AF0B0B"
"300","80.7","#AF0B0B"
"350","78.9","#AF0B0B"
"400","78.5","#AF0B0B"
"450","79.9","#AF0B0B"
"500","75.1","#AF0B0B"
"550","79.5","#AF0B0B"
"600","75.8","#AF0B0B"
"650","75.9","#AF0B0B"
"700","73.1","#AF0B0B"
"750","74.2","#AF0B0B"
"800","74.1","#AF0B0B"
"850","77.2","#AF0B0B"
"900","72.6","#AF0B0B"
"950","73.7","#AF0B0B"
"1000","77","#AF0B0B"
"1050","77.4","#AF0B0B"
"1100","77.6","#AF0B0B"
"1150","77.7","#AF0B0B"
"1200","78.4","#AF0B0B"
"1250","77.6","#AF0B0B"
"1300","75.7","#076969"
"1350","15.9","#076969"
"1400","15.9","#076969"
"1450","15.8","#076969"
"1500","16","#076969"
"1550","16","#076969"
"1600","15.8","#076969"
"1650","15.9","#076969"
"1700","15.9","#076969"
"1750","16","#076969"
"1800","15.8","#076969"
"1850","15.7","#076969"
"1900","15.8","#076969"
"1950","15.7","#076969"
"2000","15.8","#076969"
"2050","15.7","#076969"
"2100","15.8","#076969"
"2150","16","#076969"
"2200","15.7","#076969"
"2250","15.8","#076969"
"2300","16","#076969"
"2350","15.8","#076969"
"2400","15.8","#076969"
"2450","15.9","#076969"
"2500","15.8","#076969"
"2550","15.9","#076969"
"2600","15.7","#076969"
"2650","15.9","#076969"
"2700","16.1","#076969"
"2750","15.8","#076969"
"2800","15.7","#076969"
"2850","15.9","#076969"
"2900","16","#076969"
"2950","15.9","#076969"
"3000","16","#076969"
"3050","15.8","#076969"
"3100","16.2","#076969"
"3150","16","#076969"
"3200","16","#076969"
"3250","15.8","#076969"
"3300","15.7","#076969"
"3350","15.8","#076969"
"3400","15.8","#076969"
"3450","15.9","#076969"
"3500","15.7","#076969"
"3550","15.8","#076969"
"3600","15.9","#076969"
"3650","15.8","#076969"
"3700","15.9","#076969"
"3750","15.5","#076969"
"3800","15.8","#076969"
"3850","15.6","#076969"
"3900","15.7","#076969"
"3950","15.7","#076969"
"4000","15.8","#076969"
"4050","15.8","#076969"
"4100","15.9","#076969"
"4150","15.7","#076969"
"4200","16.1","#076969"
"4250","15.7","#076969"
"4300","16.1","#076969"
"4350","16","#076969"
"4400","15.6","#076969"
"4450","15.6","#076969"
"4500","15.7","#076969"
"4550","16.1","#076969"
"4600","16","#076969"
"4650","15.7","#076969"
"4700","15.9","#076969"
"4750","15.7","#076969"
"4800","15.9","#076969"
"4850","15.7","#076969"
"4900","15.5","#076969"
"4950","15.7","#076969"
"5000","15.8","#076969"
"5050","15.8","#076969"
"5100","15.8","#076969"
"5150","15.7","#076969"
"5200","15.8","#076969"
"5250","15.7","#076969"
"5300","15.8","#076969"
"5350","16","#076969"
"5400","15.8","#076969"
"5450","15.8","#076969"
"5500","15.9","#076969"
"5550","15.8","#076969"
"5600","15.7","#076969"
"5650","15.7","#076969"
"5700","15.7","#076969"
"5750","15.8","#076969"
"5800","15.8","#076969"
"5850","16","#076969"
"5900","15.8","#076969"
"5950","15.7","#076969"
"6000","15.8","#076969"
"6050","15.7","#076969"
"6100","15.7","#076969"
"6150","15.9","#076969"
"6200","15.8","#076969"
"6250","15.7","#076969"
"6300","15.8","#076969"
"6350","15.9","#076969"
"6400","15.8","#076969"
"6450","15.8","#076969"
"6500","15.8","#076969"
"6550","15.8","#076969"
"6600","15.8","#076969"
"6650","15.8","#076969"
"6700","16.1","#076969"
"6750","15.6","#076969"
"6800","15.5","#076969"
"6850","15.8","#076969"
"6900","15.9","#076969"
"6950","15.8","#076969"
"7000","15.8","#076969"
"7050","15.9","#076969"
"7100","15.7","#076969"
"7150","15.8","#076969"
"7200","15.7","#076969"
"7250","15.8","#076969"
"7300","15.7","#076969"
"7350","15.8","#076969"
"7400","15.6","#076969"
"7450","15.8","#076969"
"7500","16.1","#076969"
"7550","15.8","#076969"
"7600","15.8","#076969"
"7650","15.8","#076969"
"7700","15.9","#076969"
"7750","15.7","#076969"
"7800","15.9","#076969"
"7850","15.8","#076969"
"7900","15.7","#076969"
"7950","15.7","#076969"
"8000","15.8","#076969"
"8050","15.8","#076969"
"8100","15.7","#076969"
"8150","15.7","#076969"
"8200","15.9","#076969"
"8250","15.8","#076969"
"8300","16","#076969"
"8350","15.8","#076969"
"8400","15.7","#076969"
"8450","15.8","#076969"
"8500","15.7","#076969"
"8550","15.6","#076969"
"8600","15.7","#076969"
"8650","15.7","#076969"
"8700","15.9","#076969"
"8750","15.6","#076969"
"8800","16","#076969"
"8850","15.5","#076969"
"8900","15.7","#076969"
"8950","15.7","#076969"
"9000","15.7","#076969"
"9050","16","#076969"
"9100","15.6","#076969"
"9150","15.7","#076969"
"9200","15.7","#076969"
"9250","15.8","#076969"
"9300","15.8","#076969"
"9350","16","#076969"
"9400","15.8","#076969"
"9450","16.1","#076969"
"9500","15.8","#076969"
"9550","15.7","#076969"
"9600","15.8","#076969"
"9650","15.8","#076969"
"9700","15.5","#076969"
"9750","15.8","#076969"
"9800","15.8","#076969"
"9850","15.8","#076969"
"9900","15.7","#076969"
"9950","16","#076969"
"10000","15.6","#076969"
"10050","15.7","#076969"
"10100","15.8","#076969"
"10150","15.8","#076969"
"10200","15.8","#076969"
"10250","15.9","#076969"
"10300","16","#076969"
"10350","16.1","#076969"
"10400","15.8","#076969"
"10450","15.7","#076969"
"10500","15.8","#076969"
"10550","15.7","#076969"
"10600","15.9","#076969"
"10650","15.9","#076969"
"10700","15.9","#076969"
"10750","15.9","#076969"
"10800","16","#076969"
"10850","15.7","#076969"
"10900","15.9","#076969"
"10950","15.9","#076969"
"11000","16","#076969"
"11050","15.8","#076969"
"11100","16.2","#076969"
"11150","15.9","#076969"
"11200","15.7","#076969"
"11250","15.7","#076969"
"11300","44.7","#AF550B"
"11350","78.1","#AF550B"
"11400","77.8","#AF550B"
"11450","78.8","#AF550B"
"11500","77.7","#AF550B"
"11550","77.8","#AF550B"
"11600","77.6","#AF550B"
"11650","77.5","#AF550B"
"11700","77.5","#AF550B"
"11750","77.7","#AF550B"
"11800","77.9","#AF550B"
