"count","pow","lineColor"
"0","272.3","#AF0B0B"
"50","265.8","#AF0B0B"
"100","223.7","#AF0B0B"
"150","249.4","#AF0B0B"
"200","273.7","#AF0B0B"
"250","273.1","#AF0B0B"
"300","252.2","#AF0B0B"
"350","238.6","#AF0B0B"
"400","247.6","#AF0B0B"
"450","272.3","#AF0B0B"
"500","249.6","#AF0B0B"
"550","233.7","#AF0B0B"
"600","229.7","#AF0B0B"
"650","222","#AF0B0B"
"700","250.4","#AF0B0B"
"750","224.3","#AF0B0B"
"800","228","#AF0B0B"
"850","252.5","#AF0B0B"
"900","221.7","#AF0B0B"
"950","236","#AF0B0B"
"1000","228.3","#AF0B0B"
"1050","227.7","#AF0B0B"
"1100","225.9","#AF0B0B"
"1150","228.7","#AF0B0B"
"1200","226.7","#AF0B0B"
"1250","226","#AF0B0B"
"1300","194.1","#076969"
"1350","49.1","#076969"
"1400","49.4","#076969"
"1450","49.1","#076969"
"1500","49.4","#076969"
"1550","49.1","#076969"
"1600","49.1","#076969"
"1650","49.1","#076969"
"1700","49.1","#076969"
"1750","49.1","#076969"
"1800","48.8","#076969"
"1850","49.1","#076969"
"1900","48.8","#076969"
"1950","49.7","#076969"
"2000","49.1","#076969"
"2050","49.4","#076969"
"2100","49.1","#076969"
"2150","49.4","#076969"
"2200","49.1","#076969"
"2250","48.5","#076969"
"2300","48.5","#076969"
"2350","49.1","#076969"
"2400","49.4","#076969"
"2450","49.4","#076969"
"2500","49.1","#076969"
"2550","49.1","#076969"
"2600","49.1","#076969"
"2650","49.4","#076969"
"2700","49.4","#076969"
"2750","49.1","#076969"
"2800","49.1","#076969"
"2850","49.1","#076969"
"2900","49.1","#076969"
"2950","49.1","#076969"
"3000","49.1","#076969"
"3050","49.1","#076969"
"3100","49.1","#076969"
"3150","49.1","#076969"
"3200","49.4","#076969"
"3250","48.8","#076969"
"3300","48.8","#076969"
"3350","49.1","#076969"
"3400","49.1","#076969"
"3450","49.1","#076969"
"3500","48.5","#076969"
"3550","48.8","#076969"
"3600","49.4","#076969"
"3650","50","#076969"
"3700","51.9","#076969"
"3750","49.2","#076969"
"3800","49.2","#076969"
"3850","48.8","#076969"
"3900","49.2","#076969"
"3950","48.9","#076969"
"4000","49.5","#076969"
"4050","49.2","#076969"
"4100","49.8","#076969"
"4150","48.9","#076969"
"4200","49.2","#076969"
"4250","49.2","#076969"
"4300","48.9","#076969"
"4350","49.2","#076969"
"4400","48.9","#076969"
"4450","48.8","#076969"
"4500","49.2","#076969"
"4550","48.8","#076969"
"4600","49.2","#076969"
"4650","48.9","#076969"
"4700","49.8","#076969"
"4750","48.8","#076969"
"4800","49.1","#076969"
"4850","48.8","#076969"
"4900","49.1","#076969"
"4950","49.1","#076969"
"5000","48.8","#076969"
"5050","49.1","#076969"
"5100","49.8","#076969"
"5150","49.1","#076969"
"5200","48.8","#076969"
"5250","48.8","#076969"
"5300","49.1","#076969"
"5350","49.1","#076969"
"5400","49.1","#076969"
"5450","48.8","#076969"
"5500","49.1","#076969"
"5550","49.1","#076969"
