160,0
2	224.53,100.3,279.1	72.27,31.5,90.8	3108.51,3074,3186	5850
3	239.79,195.3,280.2	77.45,62.8,91.3	3097.75,3070,3112	1000
4	245.86,241.1,269.4	79.50,77.9,87.6	3093.57,3076,3099	350
5	51.65,50.7,151.1	16.08,15.8,47.9	3216.12,3155,3219	10000
6	224.45,147.1,257.6	72.23,46.6,83.8	3108.66,3074,3157	5800
7	239.85,222.4,269.7	77.43,71.6,87.8	3098.60,3072,3110	1000
8	242.58,239.8,246.2	78.38,77.5,79.6	3095.67,3094,3098	300
9	51.90,50.7,201.5	16.16,15.8,64.5	3215.78,3125,3219	10000
10	224.47,140.2,246.5	72.25,44.3,79.7	3108.22,3089,3166	5850
11	230.88,218.7,267.9	74.38,70.3,86.8	3105.25,3087,3112	1000
12	241.85,235.8,245	78.15,76.1,79.2	3095.33,3094,3099	300
13	51.70,48.4,151.9	16.09,15.1,48.2	3215.95,3153,3219	10000
14	225.23,147.1,257.1	72.51,46.6,83.3	3107.60,3087,3157	4800
15	223.35,218.1,251.1	71.86,70.1,81.2	3108.75,3093,3112	1000
16	239.96,227,243	77.49,73.1,78.5	3097.57,3094,3106	350
17	51.69,50.7,158.8	16.09,15.8,50.4	3215.97,3152,3219	10000
18	224.91,180.3,244.1	72.38,57.4,78.9	3108.32,3093,3142	4800
19	222.05,217.4,232.5	71.42,69.8,75	3109.62,3100,3115	1050
20	240.03,238.9,240.7	77.50,77.1,77.7	3097.67,3097,3099	300
21	51.96,50.7,211.3	16.18,15.8,67.8	3215.73,3117,3218	10000
160,5
2	224.06,99.1,308	72.92,31.3,101.9	3074.66,3023,3167	4450
3	227.19,218.9,239	73.89,71.1,77.7	3075.45,3064,3081	1000
4	237.94,227.6,241.2	77.60,74,78.7	3067.29,3064,3077	350
5	51.44,48,159.2	16.08,15,50.9	3202.08,3128,3204	10000
6	223.75,173.1,310.9	72.75,55.5,102.9	3076.92,3022,3120	4900
7	227.96,216.5,265.6	74.14,70.3,87	3075.45,3053,3082	1000
8	236.96,232.2,239.6	77.27,75.6,78.2	3067.43,3065,3072	350
9	51.41,40,151.6	16.07,12.5,48.4	3202.20,3133,3204	10000
10	222.96,159.1,260.3	72.50,50.8,85.3	3076.76,3052,3133	5750
11	223.96,217.7,241.6	72.83,70.7,78.6	3075.67,3059,3081	1050
12	238.64,234,240.6	77.83,76.2,78.5	3066.86,3065,3071	350
13	51.29,50.5,111	16.03,15.8,35.1	3201.82,3163,3203	10000
14	224.25,208.8,273.6	72.97,67.6,90	3074.45,3041,3090	4850
15	223.07,217.5,237.3	72.52,70.6,77.3	3076.60,3066,3082	1000
16	238.40,230.7,241	77.81,75.1,78.7	3064.43,3062,3073	350
17	51.68,46,195.9	16.16,14.4,63.3	3201.62,3096,3203	10000
18	223.99,99.1,271.3	72.86,31.3,88.7	3075.90,3059,3169	4800
19	225.97,215.3,238.1	73.50,70.2,77.4	3075.35,3068,3081	1000
20	239.93,235,243.9	78.31,76.6,79.7	3064.29,3061,3068	350
21	51.62,46.7,186.9	16.14,14.6,60.7	3201.82,3080,3203	10000
160,10
4	211.88,134.3,277.9	72.99,44.9,98.9	2904.58,2810,2993	4750
5	212.31,208.3,220.5	72.88,71.5,75.8	2913.80,2890,2921	1000
6	225.39,221.7,233.8	77.93,76.4,81.1	2892.86,2872,2903	350
7	49.26,43.3,226.9	16.18,14.2,78.9	3050.30,2876,3083	10000
8	212.06,59,299	72.55,19.2,105.2	2925.37,2843,3077	4850
9	215.02,207.6,242.7	73.52,70.8,83.7	2925.40,2900,2934	1000
10	223.59,214.1,226.2	76.65,73.2,77.6	2917.75,2915,2926	400
11	48.83,34.8,118.7	15.92,11.4,39.4	3071.89,3014,3088	10000
12	210.84,165.5,248.2	72.56,56.8,86.9	2906.59,2857,2936	4800
13	212.29,202.7,231	72.77,69.6,79.7	2918.05,2873,2930	1050
14	223.63,222.1,224.7	76.91,76.3,77.4	2907.86,2904,2911	350
15	49.36,34.3,246	16.15,11.3,85.5	3062.72,2878,3084	10000
16	211.43,139,254.4	72.70,46.6,90.2	2909.85,2821,2984	4800
17	210.73,202.5,218.9	72.06,68.9,75.2	2925.00,2911,2940	1000
18	223.61,217.5,225	76.78,74.5,77.3	2913.00,2910,2920	400
19	49.18,48.1,112.2	15.96,15.6,37.1	3084.81,3025,3089	10000
20	213.38,172.5,254.1	72.93,59,88.3	2927.19,2878,2950	4800
21	215.03,208,236	73.45,71,80.8	2928.05,2915,2934	1000
22	226.17,223.8,228.6	77.50,76.5,78.4	2918.86,2916,2926	350
23	49.52,42.6,189.1	16.06,13.8,64.1	3087.79,2951,3092	10000
160,15
3	215.90,136.1,286.4	72.79,44.7,97.8	2967.75,2916,3046	4800
4	227.09,209.8,292.2	76.48,70.3,98.9	2970.30,2950,2985	1000
5	228.70,220.6,231.7	77.11,74.3,78.2	2966.29,2964,2970	350
6	50.08,48.3,182.4	16.06,15.5,60.6	3122.06,3011,3124	10000
7	217.45,182.8,288.8	73.12,60.7,99.6	2975.18,2900,3013	4800
8	218.42,192,230.8	74.01,65.4,78.5	2951.65,2921,2962	1000
9	228.90,226.2,231	77.60,76.5,78.4	2950.14,2947,2957	350
10	49.79,35.1,171.2	16.00,11.3,56.9	3116.91,3010,3124	10000
11	216.51,152.3,322.2	72.79,50.1,111	2976.44,2903,3040	4800
12	222.07,210.7,266.2	74.73,70.9,90.6	2972.85,2939,2982	1000
13	227.47,213.2,232.2	76.76,71.6,78.5	2964.29,2959,2978	350
14	49.91,33.3,194.2	16.06,10.7,64.8	3111.89,2997,3124	10000
15	214.89,167.4,273.3	72.87,56.7,95.3	2950.21,2868,2972	4850
16	218.81,207.8,269	74.53,70.5,93.7	2937.40,2871,2950	1000
17	227.05,223.3,228	77.37,76,77.7	2935.50,2934,2939	300
18	50.19,48,242.3	16.21,15.5,82.7	3101.64,2930,3111	10000
19	213.51,48.9,260.7	72.51,15.8,88.6	2946.76,2898,3099	4800
20	217.56,207.9,231.8	74.02,71.1,79	2939.86,2919,2957	1050
21	226.37,225.3,228.9	77.80,77.4,78.8	2909.83,2905,2914	300
22	50.00,42.2,222.7	16.13,13.6,76	3107.68,2931,3119	10000
160,20
3	214.56,138.6,274.7	73.05,46.3,95.8	2938.89,2868,2994	4800
4	225.60,208.2,263.3	76.72,70.4,90.3	2941.57,2916,2958	1050
5	225.22,224.5,226.1	76.67,76.4,77	2938.17,2937,2939	300
6	49.48,39.7,156.2	15.97,12.8,52.2	3101.30,2993,3116	10000
7	214.66,141.1,269.4	72.62,46.6,93.6	2957.56,2879,3030	4800
8	228.50,209.4,261.9	77.89,71.1,90	2935.10,2888,2947	1000
9	225.40,217.2,227.7	76.88,73.9,77.7	2932.50,2930,2940	300
10	49.94,35.4,276.2	16.20,11.5,96.2	3091.82,2872,3108	10000
11	213.80,84.4,377	72.99,27.6,135.5	2932.52,2783,3060	4850
12	227.35,215,256.9	77.14,72.8,87	2948.15,2925,2964	1000
13	228.69,226.9,229.5	77.60,77.1,77.8	2947.57,2943,2950	350
14	50.04,48.2,195.7	16.08,15.5,65.3	3116.43,2998,3119	10000
15	216.60,154.7,351.1	73.21,51.1,125.1	2961.02,2807,3028	4400
16	236.75,210.7,275.6	80.79,71.2,93.9	2932.85,2850,2960	1000
