"count","volt","lineColor"
"0","3190","#AF0B0B"
"50","3191","#AF0B0B"
"100","3191","#AF0B0B"
"150","3191","#AF0B0B"
"200","3191","#AF0B0B"
"250","3191","#AF0B0B"
"300","3191","#AF0B0B"
"350","3191","#AF0B0B"
"400","3191","#AF0B0B"
"450","3190","#AF0B0B"
"500","3190","#AF0B0B"
"550","3190","#AF0B0B"
"600","3192","#AF0B0B"
"650","3199","#AF0B0B"
"700","3199","#AF0B0B"
"750","3199","#AF0B0B"
"800","3199","#AF0B0B"
"850","3199","#AF0B0B"
"900","3199","#AF0B0B"
"950","3198","#AF0B0B"
"1000","3198","#AF0B0B"
"1050","3197","#AF0B0B"
"1100","3199","#AF0B0B"
"1150","3197","#AF0B0B"
"1200","3199","#AF0B0B"
"1250","3199","#AF0B0B"
"1300","3199","#AF0B0B"
"1350","3199","#AF0B0B"
"1400","3199","#AF0B0B"
"1450","3199","#AF0B0B"
"1500","3199","#AF0B0B"
"1550","3199","#AF0B0B"
"1600","3199","#AF0B0B"
"1650","3197","#AF0B0B"
"1700","3198","#AF0B0B"
"1750","3198","#AF0B0B"
"1800","3196","#AF0B0B"
"1850","3199","#AF0B0B"
"1900","3199","#AF0B0B"
"1950","3180","#AF0B0B"
"2000","3199","#AF0B0B"
"2050","3199","#AF0B0B"
"2100","3200","#AF0B0B"
"2150","3199","#AF0B0B"
"2200","3199","#AF0B0B"
"2250","3199","#AF0B0B"
"2300","3199","#AF0B0B"
"2350","3198","#AF0B0B"
"2400","3199","#AF0B0B"
"2450","3198","#AF0B0B"
"2500","3199","#AF0B0B"
"2550","3199","#AF0B0B"
"2600","3199","#AF0B0B"
"2650","3198","#AF0B0B"
"2700","3194","#AF0B0B"
"2750","3187","#AF0B0B"
"2800","3191","#AF0B0B"
"2850","3189","#AF0B0B"
"2900","3188","#AF0B0B"
"2950","3187","#AF0B0B"
"3000","3190","#AF0B0B"
"3050","3188","#AF0B0B"
"3100","3191","#AF0B0B"
"3150","3188","#AF0B0B"
"3200","3189","#AF0B0B"
"3250","3190","#AF0B0B"
"3300","3189","#AF0B0B"
"3350","3190","#AF0B0B"
"3400","3189","#AF0B0B"
"3450","3189","#AF0B0B"
"3500","3190","#AF0B0B"
"3550","3188","#AF0B0B"
"3600","3189","#AF0B0B"
"3650","3191","#AF0B0B"
"3700","3191","#AF0B0B"
"3750","3177","#AF0B0B"
"3800","3198","#AF0B0B"
"3850","3197","#AF0B0B"
"3900","3199","#AF0B0B"
"3950","3199","#AF0B0B"
"4000","3198","#AF0B0B"
"4050","3199","#AF0B0B"
"4100","3199","#AF0B0B"
"4150","3198","#AF0B0B"
"4200","3199","#AF0B0B"
"4250","3200","#AF0B0B"
"4300","3199","#AF0B0B"
"4350","3198","#AF0B0B"
"4400","3199","#AF0B0B"
"4450","3199","#AF0B0B"
"4500","3197","#AF0B0B"
"4550","3199","#AF0B0B"
"4600","3198","#AF0B0B"
"4650","3198","#AF0B0B"
"4700","3198","#AF0B0B"
