"count","pow","lineColor"
"0","243.1","#AF0B0B"
"50","240.9","#AF0B0B"
"100","243.1","#AF0B0B"
"150","242.2","#AF0B0B"
"200","241.9","#AF0B0B"
"250","242.2","#AF0B0B"
"300","242.2","#AF0B0B"
"350","241.2","#AF0B0B"
"400","242.2","#AF0B0B"
"450","240.6","#AF0B0B"
"500","240.8","#AF0B0B"
"550","232.6","#AF0B0B"
"600","219.8","#AF0B0B"
"650","219.1","#AF0B0B"
"700","222.3","#AF0B0B"
"750","220.5","#AF0B0B"
"800","220.4","#AF0B0B"
"850","227.1","#AF0B0B"
"900","219.4","#AF0B0B"
"950","219.4","#AF0B0B"
"1000","246.7","#AF0B0B"
"1050","221.4","#AF0B0B"
"1100","220.2","#AF0B0B"
"1150","220.4","#AF0B0B"
"1200","219.9","#AF0B0B"
"1250","219.1","#AF0B0B"
"1300","221.4","#AF0B0B"
"1350","221.4","#AF0B0B"
"1400","221.4","#AF0B0B"
"1450","221.8","#AF0B0B"
"1500","221.7","#AF0B0B"
"1550","220.8","#AF0B0B"
"1600","221.4","#AF0B0B"
"1650","219.8","#AF0B0B"
"1700","220.4","#AF0B0B"
"1750","220.7","#AF0B0B"
"1800","220.2","#AF0B0B"
"1850","221.4","#AF0B0B"
"1900","226.8","#AF0B0B"
"1950","220.4","#AF0B0B"
"2000","218.6","#AF0B0B"
"2050","221.7","#AF0B0B"
"2100","221.4","#AF0B0B"
"2150","222","#AF0B0B"
"2200","229.8","#AF0B0B"
"2250","220.9","#AF0B0B"
"2300","219.8","#AF0B0B"
"2350","222","#AF0B0B"
"2400","219.8","#AF0B0B"
"2450","220.1","#AF0B0B"
"2500","229.5","#AF0B0B"
"2550","220.7","#AF0B0B"
"2600","219.5","#AF0B0B"
"2650","222","#AF0B0B"
"2700","247.2","#AF0B0B"
"2750","247.6","#AF0B0B"
"2800","246.7","#AF0B0B"
"2850","248.5","#AF0B0B"
"2900","246.6","#AF0B0B"
"2950","248.2","#AF0B0B"
"3000","246.3","#AF0B0B"
"3050","246.9","#AF0B0B"
"3100","248.2","#AF0B0B"
"3150","248.1","#AF0B0B"
"3200","247.8","#AF0B0B"
"3250","247.9","#AF0B0B"
"3300","246.9","#AF0B0B"
"3350","248.2","#AF0B0B"
"3400","247.3","#AF0B0B"
"3450","247.6","#AF0B0B"
"3500","248.1","#AF0B0B"
"3550","243.8","#AF0B0B"
"3600","246.5","#AF0B0B"
"3650","242.6","#AF0B0B"
"3700","317.1","#AF0B0B"
"3750","231.2","#AF0B0B"
"3800","219.4","#AF0B0B"
"3850","222","#AF0B0B"
"3900","206.9","#AF0B0B"
"3950","222.1","#AF0B0B"
"4000","222","#AF0B0B"
"4050","220.4","#AF0B0B"
"4100","222","#AF0B0B"
"4150","220.7","#AF0B0B"
"4200","222","#AF0B0B"
"4250","221.6","#AF0B0B"
"4300","222.3","#AF0B0B"
"4350","221","#AF0B0B"
"4400","254.8","#AF0B0B"
"4450","231","#AF0B0B"
"4500","226.4","#AF0B0B"
"4550","236.6","#AF0B0B"
"4600","227.8","#AF0B0B"
"4650","222.4","#AF0B0B"
"4700","222.9","#AF0B0B"
"4750","227.1","#AF0B0B"
"4800","224.6","#AF0B0B"
"4850","222.9","#AF0B0B"
"4900","236.1","#AF0B0B"
"4950","224.5","#AF0B0B"
"5000","224.8","#AF0B0B"
"5050","222.6","#AF0B0B"
"5100","225.2","#AF0B0B"
"5150","232.5","#AF0B0B"
"5200","222.9","#AF0B0B"
"5250","232","#AF0B0B"
"5300","222.3","#AF0B0B"
"5350","224.2","#AF0B0B"
"5400","241.3","#076969"
"5450","242.6","#076969"
"5500","243.4","#076969"
"5550","247.5","#076969"
"5600","242.6","#076969"
"5650","242.2","#076969"
"5700","258.1","#AF550B"
"5750","49.4","#AF550B"
"5800","48.8","#AF550B"
"5850","49.1","#AF550B"
"5900","48.8","#AF550B"
"5950","48.8","#AF550B"
"6000","48.8","#AF550B"
"6050","48.8","#AF550B"
"6100","49.1","#AF550B"
"6150","48.8","#AF550B"
"6200","49.4","#AF550B"
"6250","48.8","#AF550B"
"6300","49.1","#AF550B"
"6350","48.8","#AF550B"
"6400","48.8","#AF550B"
"6450","48.8","#AF550B"
"6500","48.8","#AF550B"
"6550","48.8","#AF550B"
"6600","48.8","#AF550B"
"6650","48.8","#AF550B"
"6700","48.4","#AF550B"
"6750","48.8","#AF550B"
"6800","48.8","#AF550B"
"6850","49.1","#AF550B"
"6900","48.4","#AF550B"
"6950","48.8","#AF550B"
"7000","49.1","#AF550B"
"7050","48.8","#AF550B"
"7100","48.8","#AF550B"
"7150","48.8","#AF550B"
"7200","48.8","#AF550B"
"7250","48.8","#AF550B"
"7300","48.5","#AF550B"
"7350","48.8","#AF550B"
"7400","48.8","#AF550B"
"7450","48.4","#AF550B"
"7500","48.8","#AF550B"
"7550","48.8","#AF550B"
"7600","48.8","#AF550B"
"7650","48.8","#AF550B"
"7700","48.8","#AF550B"
"7750","48.8","#AF550B"
"7800","49.4","#AF550B"
"7850","48.8","#AF550B"
"7900","49.1","#AF550B"
"7950","48.8","#AF550B"
"8000","48.8","#AF550B"
"8050","48.8","#AF550B"
"8100","48.8","#AF550B"
"8150","48.8","#AF550B"
"8200","48.8","#AF550B"
"8250","48.4","#AF550B"
"8300","48.8","#AF550B"
"8350","48.4","#AF550B"
"8400","48.8","#AF550B"
"8450","48.8","#AF550B"
"8500","48.8","#AF550B"
"8550","48.4","#AF550B"
"8600","48.8","#AF550B"
"8650","49.1","#AF550B"
"8700","48.8","#AF550B"
"8750","48.4","#AF550B"
"8800","48.8","#AF550B"
"8850","49.4","#AF550B"
"8900","48.8","#AF550B"
"8950","49.4","#AF550B"
"9000","48.8","#AF550B"
"9050","48.8","#AF550B"
"9100","48.8","#AF550B"
"9150","48.8","#AF550B"
"9200","48.8","#AF550B"
"9250","48.8","#AF550B"
"9300","48.8","#AF550B"
"9350","48.4","#AF550B"
"9400","48.8","#AF550B"
"9450","48.8","#AF550B"
"9500","48.7","#AF550B"
"9550","48.8","#AF550B"
"9600","48.8","#AF550B"
"9650","48.8","#AF550B"
"9700","48.8","#AF550B"
"9750","48.8","#AF550B"
"9800","48.8","#AF550B"
"9850","49.1","#AF550B"
"9900","48.8","#AF550B"
"9950","48.8","#AF550B"
"10000","48.4","#AF550B"
"10050","49.1","#AF550B"
"10100","48.8","#AF550B"
"10150","48.8","#AF550B"
"10200","48.4","#AF550B"
"10250","48.4","#AF550B"
"10300","48.4","#AF550B"
"10350","48.8","#AF550B"
"10400","48.8","#AF550B"
"10450","48.8","#AF550B"
"10500","48.8","#AF550B"
"10550","48.8","#AF550B"
"10600","48.8","#AF550B"
"10650","48.8","#AF550B"
"10700","48.8","#AF550B"
"10750","48.8","#AF550B"
"10800","48.8","#AF550B"
"10850","48.8","#AF550B"
"10900","48.8","#AF550B"
"10950","48.8","#AF550B"
"11000","48.4","#AF550B"
"11050","48.8","#AF550B"
"11100","49.1","#AF550B"
"11150","48.8","#AF550B"
"11200","48.4","#AF550B"
"11250","48.8","#AF550B"
"11300","48.8","#AF550B"
"11350","48.4","#AF550B"
"11400","48.4","#AF550B"
"11450","48.5","#AF550B"
"11500","48.8","#AF550B"
"11550","48.8","#AF550B"
"11600","48.8","#AF550B"
"11650","49.1","#AF550B"
"11700","48.8","#AF550B"
