"count","time","lineColor","label"
"214","50","","50"
"215","5400","#AF0B0B","5400"
"216","300","#076969","300"
"217","10000","#AF550B","10000"
"218","4450","#098C09","4450"
"219","1050","#AF0B0B","1050"
"220","300","#076969","300"
"221","10000","#AF550B","10000"
"222","5500","#098C09","5500"
"223","1050","#AF0B0B","1050"
"224","300","#076969","300"
"225","10000","#AF550B","10000"
"226","4400","#098C09","4400"
"227","1050","#AF0B0B","1050"
"228","250","#076969","250"
"229","10000","#AF550B","10000"
"230","4450","#098C09","4450"
"231","1000","#AF0B0B","1000"
"232","300","#076969","300"
"233","10000","#AF550B","10000"
"234","4450","#098C09","4450"
"235","1000","#AF0B0B","1000"
"236","300","#076969","300"
"237","10000","#AF550B","10000"
"238","4400","#098C09","4400"
"239","50","#AF0B0B","50"
