"count","pow","lineColor"
"0","236.2","#AF0B0B"
"16","219.5","#AF0B0B"
"32","224.6","#AF0B0B"
"48","195.8","#AF0B0B"
"64","277.5","#AF0B0B"
"80","249.7","#AF0B0B"
"96","227.5","#AF0B0B"
"112","227.5","#AF0B0B"
"128","242.6","#AF0B0B"
"144","238.9","#AF0B0B"
"160","239.4","#AF0B0B"
"176","244.5","#AF0B0B"
"192","224.1","#AF0B0B"
"208","225.2","#AF0B0B"
"224","231.5","#AF0B0B"
"240","220.5","#AF0B0B"
"256","239.5","#AF0B0B"
"272","232.3","#AF0B0B"
"288","224.4","#AF0B0B"
"304","227","#AF0B0B"
"320","229.5","#AF0B0B"
"336","242.7","#AF0B0B"
"352","222.6","#AF0B0B"
"368","232.5","#AF0B0B"
"384","236.7","#AF0B0B"
"400","243.1","#AF0B0B"
"416","243.8","#AF0B0B"
"432","225.6","#AF0B0B"
"448","248.5","#AF0B0B"
"464","221.2","#AF0B0B"
"480","237.9","#AF0B0B"
"496","231.5","#AF0B0B"
"512","222.7","#AF0B0B"
"528","237.3","#AF0B0B"
"544","228.3","#AF0B0B"
"560","229.3","#AF0B0B"
"576","220.1","#AF0B0B"
"592","229.6","#AF0B0B"
"608","227.9","#AF0B0B"
"624","238.8","#AF0B0B"
"640","220.6","#AF0B0B"
"656","226.4","#AF0B0B"
"672","227.8","#AF0B0B"
"688","220.9","#AF0B0B"
"704","228.1","#AF0B0B"
"720","229.1","#AF0B0B"
"736","234.6","#AF0B0B"
"752","219.6","#AF0B0B"
"768","225.5","#AF0B0B"
"784","235.4","#AF0B0B"
"800","220.9","#AF0B0B"
"816","228.3","#AF0B0B"
"832","233.3","#AF0B0B"
"848","237.2","#AF0B0B"
"864","248.1","#AF0B0B"
"880","224","#AF0B0B"
"896","224","#AF0B0B"
"912","219.5","#AF0B0B"
"928","220.5","#AF0B0B"
"944","235.2","#AF0B0B"
"960","273.8","#AF0B0B"
"976","219.5","#AF0B0B"
"992","219.5","#AF0B0B"
"1008","235.4","#AF0B0B"
"1024","238.8","#AF0B0B"
"1040","239.7","#AF0B0B"
"1056","241.7","#AF0B0B"
"1072","238","#AF0B0B"
"1088","239.2","#AF0B0B"
"1104","239.4","#AF0B0B"
"1120","240","#AF0B0B"
"1136","240.3","#AF0B0B"
"1152","240.1","#AF0B0B"
"1168","231.8","#AF0B0B"
"1184","241.9","#AF0B0B"
"1200","240.3","#AF0B0B"
"1216","239.9","#AF0B0B"
"1232","239.3","#AF0B0B"
"1248","237.3","#AF0B0B"
"1264","237.8","#AF0B0B"
"1280","239.4","#AF0B0B"
"1296","239.4","#AF0B0B"
"1312","292.5","#076969"
"1328","54.7","#076969"
"1344","51.5","#076969"
"1360","51.8","#076969"
"1376","51.9","#076969"
"1392","51.8","#076969"
"1408","51.5","#076969"
"1424","51.5","#076969"
"1440","51.5","#076969"
"1456","51.5","#076969"
"1472","51.5","#076969"
"1488","51.5","#076969"
"1504","51.5","#076969"
"1520","51.5","#076969"
"1536","51.2","#076969"
"1552","51.5","#076969"
"1568","51.5","#076969"
"1584","51.5","#076969"
"1600","51.5","#076969"
"1616","51.5","#076969"
"1632","51.2","#076969"
"1648","51.5","#076969"
"1664","51.2","#076969"
"1680","51.2","#076969"
"1696","51.5","#076969"
"1712","51.5","#076969"
"1728","51.2","#076969"
"1744","51.2","#076969"
"1760","51.5","#076969"
"1776","51.6","#076969"
"1792","51.8","#076969"
"1808","51.5","#076969"
"1824","51.5","#076969"
"1840","51.8","#076969"
"1856","51.2","#076969"
"1872","51.5","#076969"
"1888","51.2","#076969"
"1904","51.5","#076969"
"1920","51.5","#076969"
"1936","51.5","#076969"
"1952","51.5","#076969"
"1968","51.5","#076969"
"1984","51.5","#076969"
"2000","51.8","#076969"
"2016","51.2","#076969"
"2032","51.2","#076969"
"2048","51.5","#076969"
"2064","51.5","#076969"
"2080","50.9","#076969"
"2096","51.8","#076969"
"2112","51.5","#076969"
"2128","51.5","#076969"
"2144","51.2","#076969"
"2160","51.5","#076969"
"2176","51.2","#076969"
"2192","51.2","#076969"
"2208","51.2","#076969"
"2224","51.5","#076969"
"2240","51.5","#076969"
"2256","51.5","#076969"
"2272","51.5","#076969"
"2288","51.2","#076969"
"2304","51.6","#076969"
"2320","51.2","#076969"
"2336","51.5","#076969"
"2352","51.5","#076969"
"2368","51.5","#076969"
"2384","51.5","#076969"
"2400","51.5","#076969"
"2416","51.2","#076969"
"2432","51.2","#076969"
"2448","51.5","#076969"
"2464","51.5","#076969"
"2480","51.5","#076969"
"2496","51.6","#076969"
"2512","51.2","#076969"
"2528","51.5","#076969"
"2544","51.2","#076969"
"2560","51.2","#076969"
"2576","51.5","#076969"
"2592","51.5","#076969"
"2608","51.5","#076969"
"2624","51.5","#076969"
"2640","51.2","#076969"
"2656","51.5","#076969"
"2672","51.2","#076969"
"2688","51.5","#076969"
"2704","51.5","#076969"
"2720","51.2","#076969"
"2736","51.5","#076969"
"2752","51.2","#076969"
"2768","51.5","#076969"
"2784","51.2","#076969"
"2800","51.6","#076969"
"2816","51.8","#076969"
"2832","51.5","#076969"
"2848","51.2","#076969"
"2864","51.5","#076969"
"2880","51.5","#076969"
"2896","52.1","#076969"
"2912","51.2","#076969"
"2928","51.2","#076969"
"2944","51.2","#076969"
"2960","51.5","#076969"
"2976","51.2","#076969"
"2992","51.5","#076969"
"3008","51.5","#076969"
"3024","51.2","#076969"
"3040","51.2","#076969"
"3056","51.5","#076969"
"3072","51.5","#076969"
"3088","51.2","#076969"
"3104","51.2","#076969"
"3120","51.2","#076969"
"3136","51.2","#076969"
"3152","51.2","#076969"
"3168","51.2","#076969"
"3184","51.5","#076969"
"3200","51.2","#076969"
"3216","51.2","#076969"
"3232","51.2","#076969"
"3248","51.2","#076969"
"3264","51.5","#076969"
"3280","51.2","#076969"
"3296","51.2","#076969"
"3312","51.2","#076969"
"3328","51.2","#076969"
"3344","45.9","#076969"
"3360","51.8","#076969"
"3376","51.5","#076969"
"3392","51.2","#076969"
"3408","52.5","#076969"
"3424","52.5","#076969"
"3440","51.5","#076969"
"3456","51.5","#076969"
"3472","51.6","#076969"
"3488","51.2","#076969"
"3504","51.2","#076969"
"3520","51.2","#076969"
"3536","51.2","#076969"
"3552","51.5","#076969"
"3568","51.5","#076969"
"3584","51.2","#076969"
"3600","51.5","#076969"
