"count","curr","lineColor"
"0","75.6","#AF0B0B"
"16","82.9","#AF0B0B"
"32","90.5","#AF0B0B"
"48","74.7","#AF0B0B"
"64","85","#AF0B0B"
"80","78.5","#AF0B0B"
"96","76.4","#AF0B0B"
"112","77.8","#AF0B0B"
"128","77.3","#AF0B0B"
"144","122.4","#AF0B0B"
"160","92.1","#AF0B0B"
"176","74.6","#AF0B0B"
"192","107.4","#AF0B0B"
"208","86.2","#AF0B0B"
"224","93.6","#AF0B0B"
"240","101.7","#AF0B0B"
"256","79.3","#AF0B0B"
"272","79.6","#AF0B0B"
"288","112.9","#AF0B0B"
"304","80.2","#AF0B0B"
"320","89.7","#AF0B0B"
"336","86.5","#AF0B0B"
"352","83.8","#AF0B0B"
"368","96.7","#AF0B0B"
"384","80","#AF0B0B"
"400","101.1","#AF0B0B"
"416","96.4","#AF0B0B"
"432","87.3","#AF0B0B"
"448","93.6","#AF0B0B"
"464","90.6","#AF0B0B"
"480","94.4","#AF0B0B"
"496","74.2","#AF0B0B"
"512","79.8","#AF0B0B"
"528","72.8","#AF0B0B"
"544","76.7","#AF0B0B"
"560","76.9","#AF0B0B"
"576","81.1","#AF0B0B"
"592","77.2","#AF0B0B"
"608","71.6","#AF0B0B"
"624","85.5","#AF0B0B"
"640","72","#AF0B0B"
"656","75","#AF0B0B"
"672","73.4","#AF0B0B"
"688","74","#AF0B0B"
"704","78.4","#AF0B0B"
"720","71.6","#AF0B0B"
"736","79.4","#AF0B0B"
"752","89.7","#AF0B0B"
"768","74.9","#AF0B0B"
"784","82.3","#AF0B0B"
"800","73","#AF0B0B"
"816","69.8","#AF0B0B"
"832","73.7","#AF0B0B"
"848","75.5","#AF0B0B"
"864","72","#AF0B0B"
"880","72.8","#AF0B0B"
"896","68.3","#AF0B0B"
"912","83.1","#AF0B0B"
"928","69.8","#AF0B0B"
"944","72.8","#AF0B0B"
"960","67.5","#AF0B0B"
"976","86.7","#AF0B0B"
"992","84.8","#AF0B0B"
"1008","76.1","#AF0B0B"
"1024","76.1","#AF0B0B"
"1040","75.1","#AF0B0B"
"1056","75.9","#AF0B0B"
"1072","76.5","#AF0B0B"
"1088","77.3","#AF0B0B"
"1104","76.1","#AF0B0B"
"1120","75.5","#AF0B0B"
"1136","75.1","#AF0B0B"
"1152","75.9","#AF0B0B"
"1168","77.8","#AF0B0B"
"1184","79","#AF0B0B"
"1200","77.8","#AF0B0B"
"1216","78.3","#AF0B0B"
"1232","78.9","#AF0B0B"
"1248","77.6","#AF0B0B"
"1264","77.7","#AF0B0B"
"1280","77.6","#AF0B0B"
"1296","77.9","#AF0B0B"
"1312","78.1","#AF0B0B"
"1328","103.7","#076969"
"1344","16.5","#076969"
"1360","16.1","#076969"
"1376","16","#076969"
"1392","16","#076969"
"1408","16","#076969"
"1424","16","#076969"
"1440","16","#076969"
"1456","16","#076969"
"1472","16","#076969"
"1488","16","#076969"
"1504","16","#076969"
"1520","16","#076969"
"1536","16","#076969"
"1552","16.1","#076969"
"1568","15.9","#076969"
"1584","16","#076969"
"1600","15.9","#076969"
"1616","16","#076969"
"1632","16","#076969"
"1648","16","#076969"
"1664","15.9","#076969"
"1680","16","#076969"
"1696","16","#076969"
"1712","16.1","#076969"
"1728","15.9","#076969"
"1744","16","#076969"
"1760","15.9","#076969"
"1776","16","#076969"
"1792","16","#076969"
"1808","16","#076969"
"1824","16","#076969"
"1840","16","#076969"
"1856","16.1","#076969"
"1872","16","#076969"
"1888","16","#076969"
"1904","16","#076969"
"1920","16","#076969"
"1936","15.9","#076969"
"1952","16","#076969"
"1968","16","#076969"
"1984","16","#076969"
"2000","15.9","#076969"
"2016","16","#076969"
"2032","15.9","#076969"
"2048","16","#076969"
"2064","16.2","#076969"
"2080","16","#076969"
"2096","16","#076969"
"2112","16","#076969"
"2128","16","#076969"
"2144","16.2","#076969"
"2160","16","#076969"
"2176","15.9","#076969"
"2192","16","#076969"
"2208","16","#076969"
"2224","16","#076969"
"2240","15.9","#076969"
"2256","15.9","#076969"
"2272","15.9","#076969"
"2288","16.1","#076969"
"2304","16","#076969"
"2320","16","#076969"
"2336","16","#076969"
"2352","15.9","#076969"
"2368","16","#076969"
"2384","16","#076969"
"2400","16","#076969"
"2416","16","#076969"
"2432","16","#076969"
"2448","15.9","#076969"
"2464","15.9","#076969"
"2480","15.9","#076969"
"2496","15.9","#076969"
"2512","16","#076969"
"2528","16","#076969"
"2544","15.9","#076969"
"2560","16","#076969"
"2576","16","#076969"
"2592","15.9","#076969"
"2608","15.9","#076969"
"2624","16","#076969"
"2640","16","#076969"
"2656","16","#076969"
"2672","15.9","#076969"
"2688","15.9","#076969"
"2704","16.1","#076969"
"2720","16","#076969"
"2736","16","#076969"
"2752","15.9","#076969"
"2768","16","#076969"
"2784","15.9","#076969"
"2800","15.9","#076969"
"2816","16","#076969"
"2832","16.7","#076969"
"2848","16","#076969"
"2864","16","#076969"
"2880","16.1","#076969"
"2896","16","#076969"
"2912","16","#076969"
"2928","15.9","#076969"
"2944","16","#076969"
"2960","16.1","#076969"
"2976","16","#076969"
"2992","15.9","#076969"
"3008","16","#076969"
"3024","16","#076969"
"3040","16","#076969"
"3056","15.9","#076969"
"3072","16","#076969"
"3088","16","#076969"
"3104","16","#076969"
"3120","15.9","#076969"
"3136","16","#076969"
"3152","16","#076969"
"3168","15.9","#076969"
"3184","16","#076969"
"3200","16","#076969"
"3216","15.9","#076969"
"3232","15.9","#076969"
"3248","16","#076969"
"3264","15.9","#076969"
"3280","16","#076969"
"3296","15.9","#076969"
"3312","16","#076969"
"3328","16","#076969"
"3344","16","#076969"
"3360","16","#076969"
"3376","15.9","#076969"
"3392","15.9","#076969"
"3408","15.9","#076969"
"3424","16","#076969"
"3440","16","#076969"
"3456","16","#076969"
"3472","16","#076969"
"3488","16","#076969"
"3504","15.9","#076969"
"3520","16","#076969"
"3536","16","#076969"
"3552","16","#076969"
"3568","15.9","#076969"
"3584","16","#076969"
"3600","16","#076969"
"3616","15.9","#076969"
"3632","16","#076969"
"3648","16","#076969"
"3664","16","#076969"
"3680","15.9","#076969"
"3696","16","#076969"
"3712","16.2","#076969"
"3728","15.9","#076969"
"3744","16","#076969"
"3760","15.9","#076969"
"3776","15.9","#076969"
"3792","16","#076969"
"3808","15.9","#076969"
"3824","15.9","#076969"
"3840","15.9","#076969"
"3856","16","#076969"
"3872","15.9","#076969"
"3888","16","#076969"
"3904","15.9","#076969"
"3920","15.9","#076969"
"3936","15.9","#076969"
"3952","15.9","#076969"
"3968","16","#076969"
"3984","15.9","#076969"
"4000","15.9","#076969"
"4016","15.9","#076969"
"4032","15.9","#076969"
"4048","16","#076969"
"4064","16","#076969"
"4080","15.9","#076969"
"4096","15.9","#076969"
"4112","16","#076969"
"4128","16","#076969"
"4144","16","#076969"
"4160","16","#076969"
"4176","16","#076969"
"4192","16","#076969"
"4208","16","#076969"
"4224","15.9","#076969"
"4240","15.9","#076969"
"4256","15.9","#076969"
"4272","16","#076969"
"4288","16","#076969"
"4304","16","#076969"
"4320","16","#076969"
"4336","16","#076969"
"4352","16","#076969"
"4368","16","#076969"
"4384","15.9","#076969"
"4400","15.9","#076969"
"4416","16","#076969"
"4432","16","#076969"
"4448","15.9","#076969"
"4464","16","#076969"
"4480","16","#076969"
"4496","16","#076969"
"4512","15.9","#076969"
"4528","15.2","#076969"
"4544","15.9","#076969"
"4560","16","#076969"
"4576","15.9","#076969"
"4592","16","#076969"
"4608","16.1","#076969"
"4624","16","#076969"
"4640","16","#076969"
"4656","16","#076969"
"4672","15.9","#076969"
"4688","15.9","#076969"
"4704","16","#076969"
"4720","15.9","#076969"
"4736","16","#076969"
"4752","15.9","#076969"
"4768","16","#076969"
"4784","15.9","#076969"
"4800","16","#076969"
"4816","15.9","#076969"
"4832","15.9","#076969"
"4848","16","#076969"
"4864","15.9","#076969"
"4880","16","#076969"
"4896","15.9","#076969"
"4912","16","#076969"
"4928","16","#076969"
"4944","16","#076969"
"4960","16","#076969"
