"count","curr","lineColor"
"0","76.4","#AF0B0B"
"16","70.9","#AF0B0B"
"32","72.7","#AF0B0B"
"48","63.3","#AF0B0B"
"64","91.3","#AF0B0B"
"80","80.9","#AF0B0B"
"96","73.7","#AF0B0B"
"112","73.7","#AF0B0B"
"128","78.4","#AF0B0B"
"144","78","#AF0B0B"
"160","77.5","#AF0B0B"
"176","79.2","#AF0B0B"
"192","72.5","#AF0B0B"
"208","72.9","#AF0B0B"
"224","75.1","#AF0B0B"
"240","71.3","#AF0B0B"
"256","78.2","#AF0B0B"
"272","75.5","#AF0B0B"
"288","72.6","#AF0B0B"
"304","73.4","#AF0B0B"
"320","74.4","#AF0B0B"
"336","78.5","#AF0B0B"
"352","71.9","#AF0B0B"
"368","75.5","#AF0B0B"
"384","76.4","#AF0B0B"
"400","78.6","#AF0B0B"
"416","78.9","#AF0B0B"
"432","73.1","#AF0B0B"
"448","80.5","#AF0B0B"
"464","71.5","#AF0B0B"
"480","76.9","#AF0B0B"
"496","74.9","#AF0B0B"
"512","72","#AF0B0B"
"528","76.7","#AF0B0B"
"544","74.1","#AF0B0B"
"560","74","#AF0B0B"
"576","71.1","#AF0B0B"
"592","74.5","#AF0B0B"
"608","73.9","#AF0B0B"
"624","77.4","#AF0B0B"
"640","71.3","#AF0B0B"
"656","73.4","#AF0B0B"
"672","73.8","#AF0B0B"
"688","71.4","#AF0B0B"
"704","73.9","#AF0B0B"
"720","74.2","#AF0B0B"
"736","75.8","#AF0B0B"
"752","71","#AF0B0B"
"768","72.9","#AF0B0B"
"784","76.2","#AF0B0B"
"800","71.4","#AF0B0B"
"816","74","#AF0B0B"
"832","75.4","#AF0B0B"
"848","76.7","#AF0B0B"
"864","80.2","#AF0B0B"
"880","72.5","#AF0B0B"
"896","72.5","#AF0B0B"
"912","70.9","#AF0B0B"
"928","71.3","#AF0B0B"
"944","75.9","#AF0B0B"
"960","89","#AF0B0B"
"976","70.9","#AF0B0B"
"992","70.9","#AF0B0B"
"1008","76.3","#AF0B0B"
"1024","77.5","#AF0B0B"
"1040","77.8","#AF0B0B"
"1056","78.5","#AF0B0B"
"1072","77.2","#AF0B0B"
"1088","77.6","#AF0B0B"
"1104","77.7","#AF0B0B"
"1120","77.9","#AF0B0B"
"1136","78","#AF0B0B"
"1152","78","#AF0B0B"
"1168","75.2","#AF0B0B"
"1184","78.6","#AF0B0B"
"1200","78","#AF0B0B"
"1216","77.9","#AF0B0B"
"1232","77.7","#AF0B0B"
"1248","77","#AF0B0B"
"1264","77.2","#AF0B0B"
"1280","77.7","#AF0B0B"
"1296","77.7","#AF0B0B"
"1312","96.4","#076969"
"1328","17","#076969"
"1344","16","#076969"
"1360","16.1","#076969"
"1376","16.1","#076969"
"1392","16.1","#076969"
"1408","16","#076969"
"1424","16","#076969"
"1440","16","#076969"
"1456","16","#076969"
"1472","16","#076969"
"1488","16","#076969"
"1504","16","#076969"
"1520","16","#076969"
"1536","15.9","#076969"
"1552","16","#076969"
"1568","16","#076969"
"1584","16","#076969"
"1600","16","#076969"
"1616","16","#076969"
"1632","15.9","#076969"
"1648","16","#076969"
"1664","15.9","#076969"
"1680","15.9","#076969"
"1696","16","#076969"
"1712","16","#076969"
"1728","15.9","#076969"
"1744","15.9","#076969"
"1760","16","#076969"
"1776","16","#076969"
"1792","16.1","#076969"
"1808","16","#076969"
"1824","16","#076969"
"1840","16.1","#076969"
"1856","15.9","#076969"
"1872","16","#076969"
"1888","15.9","#076969"
"1904","16","#076969"
"1920","16","#076969"
"1936","16","#076969"
"1952","16","#076969"
"1968","16","#076969"
"1984","16","#076969"
"2000","16.1","#076969"
"2016","15.9","#076969"
"2032","15.9","#076969"
"2048","16","#076969"
"2064","16","#076969"
"2080","15.8","#076969"
"2096","16.1","#076969"
"2112","16","#076969"
"2128","16","#076969"
"2144","15.9","#076969"
"2160","16","#076969"
"2176","15.9","#076969"
"2192","15.9","#076969"
"2208","15.9","#076969"
"2224","16","#076969"
"2240","16","#076969"
"2256","16","#076969"
"2272","16","#076969"
"2288","15.9","#076969"
"2304","16","#076969"
"2320","15.9","#076969"
"2336","16","#076969"
"2352","16","#076969"
"2368","16","#076969"
"2384","16","#076969"
"2400","16","#076969"
"2416","15.9","#076969"
"2432","15.9","#076969"
"2448","16","#076969"
"2464","16","#076969"
"2480","16","#076969"
"2496","16","#076969"
"2512","15.9","#076969"
"2528","16","#076969"
"2544","15.9","#076969"
"2560","15.9","#076969"
"2576","16","#076969"
"2592","16","#076969"
"2608","16","#076969"
"2624","16","#076969"
"2640","15.9","#076969"
"2656","16","#076969"
"2672","15.9","#076969"
"2688","16","#076969"
"2704","16","#076969"
"2720","15.9","#076969"
"2736","16","#076969"
"2752","15.9","#076969"
"2768","16","#076969"
"2784","15.9","#076969"
"2800","16","#076969"
"2816","16.1","#076969"
"2832","16","#076969"
"2848","15.9","#076969"
"2864","16","#076969"
"2880","16","#076969"
"2896","16.2","#076969"
"2912","15.9","#076969"
"2928","15.9","#076969"
"2944","15.9","#076969"
"2960","16","#076969"
"2976","15.9","#076969"
"2992","16","#076969"
"3008","16","#076969"
"3024","15.9","#076969"
"3040","15.9","#076969"
"3056","16","#076969"
"3072","16","#076969"
"3088","15.9","#076969"
"3104","15.9","#076969"
"3120","15.9","#076969"
"3136","15.9","#076969"
"3152","15.9","#076969"
"3168","15.9","#076969"
"3184","16","#076969"
"3200","15.9","#076969"
"3216","15.9","#076969"
"3232","15.9","#076969"
"3248","15.9","#076969"
"3264","16","#076969"
"3280","15.9","#076969"
"3296","15.9","#076969"
"3312","15.9","#076969"
"3328","15.9","#076969"
"3344","14.3","#076969"
"3360","16.1","#076969"
"3376","16","#076969"
"3392","15.9","#076969"
"3408","16.3","#076969"
"3424","16.3","#076969"
"3440","16","#076969"
"3456","16","#076969"
"3472","16","#076969"
"3488","15.9","#076969"
"3504","15.9","#076969"
"3520","15.9","#076969"
"3536","15.9","#076969"
"3552","16","#076969"
"3568","16","#076969"
"3584","15.9","#076969"
"3600","16","#076969"
"3616","16","#076969"
"3632","16.1","#076969"
"3648","15.9","#076969"
"3664","16","#076969"
"3680","15.9","#076969"
"3696","15.9","#076969"
"3712","16.1","#076969"
"3728","16","#076969"
"3744","15.9","#076969"
"3760","16","#076969"
"3776","16","#076969"
"3792","15.9","#076969"
"3808","15.9","#076969"
"3824","15.9","#076969"
"3840","16","#076969"
"3856","16","#076969"
"3872","15.9","#076969"
"3888","15.9","#076969"
"3904","15.9","#076969"
"3920","15.9","#076969"
"3936","15.8","#076969"
"3952","15.9","#076969"
"3968","15.9","#076969"
"3984","16","#076969"
"4000","16","#076969"
"4016","16","#076969"
"4032","16","#076969"
"4048","15.9","#076969"
"4064","15.9","#076969"
"4080","15.9","#076969"
"4096","16","#076969"
"4112","15.9","#076969"
"4128","15.9","#076969"
"4144","15.9","#076969"
"4160","15.9","#076969"
"4176","15.9","#076969"
"4192","15.9","#076969"
"4208","15.9","#076969"
"4224","15.9","#076969"
"4240","16","#076969"
"4256","15.9","#076969"
"4272","16","#076969"
"4288","15.9","#076969"
"4304","16","#076969"
"4320","15.9","#076969"
"4336","15.9","#076969"
"4352","16","#076969"
"4368","15.9","#076969"
"4384","15.9","#076969"
"4400","15.9","#076969"
