"count","volt","lineColor"
"0","3092","#AF0B0B"
"16","3097","#AF0B0B"
"32","3090","#AF0B0B"
"48","3094","#AF0B0B"
"64","3040","#AF0B0B"
"80","3087","#AF0B0B"
"96","3088","#AF0B0B"
"112","3087","#AF0B0B"
"128","3095","#AF0B0B"
"144","3063","#AF0B0B"
"160","3090","#AF0B0B"
"176","3088","#AF0B0B"
"192","3092","#AF0B0B"
"208","3090","#AF0B0B"
"224","3083","#AF0B0B"
"240","3093","#AF0B0B"
"256","3063","#AF0B0B"
"272","3078","#AF0B0B"
"288","3092","#AF0B0B"
"304","3093","#AF0B0B"
"320","3085","#AF0B0B"
"336","3092","#AF0B0B"
"352","3096","#AF0B0B"
"368","3080","#AF0B0B"
"384","3099","#AF0B0B"
"400","3094","#AF0B0B"
"416","3091","#AF0B0B"
"432","3087","#AF0B0B"
"448","3087","#AF0B0B"
"464","3095","#AF0B0B"
"480","3094","#AF0B0B"
"496","3092","#AF0B0B"
"512","3094","#AF0B0B"
"528","3095","#AF0B0B"
"544","3082","#AF0B0B"
"560","3099","#AF0B0B"
"576","3096","#AF0B0B"
"592","3083","#AF0B0B"
"608","3085","#AF0B0B"
"624","3086","#AF0B0B"
"640","3095","#AF0B0B"
"656","3085","#AF0B0B"
"672","3087","#AF0B0B"
"688","3095","#AF0B0B"
"704","3087","#AF0B0B"
"720","3088","#AF0B0B"
"736","3095","#AF0B0B"
"752","3094","#AF0B0B"
"768","3094","#AF0B0B"
"784","3090","#AF0B0B"
"800","3095","#AF0B0B"
"816","3086","#AF0B0B"
"832","3095","#AF0B0B"
"848","3093","#AF0B0B"
"864","3094","#AF0B0B"
"880","3091","#AF0B0B"
"896","3091","#AF0B0B"
"912","3097","#AF0B0B"
"928","3093","#AF0B0B"
"944","3099","#AF0B0B"
"960","3077","#AF0B0B"
"976","3096","#AF0B0B"
"992","3096","#AF0B0B"
"1008","3086","#AF0B0B"
"1024","3082","#AF0B0B"
"1040","3082","#AF0B0B"
"1056","3080","#AF0B0B"
"1072","3083","#AF0B0B"
"1088","3083","#AF0B0B"
"1104","3082","#AF0B0B"
"1120","3081","#AF0B0B"
"1136","3081","#AF0B0B"
"1152","3079","#AF0B0B"
"1168","3083","#AF0B0B"
"1184","3078","#AF0B0B"
