"count","pow","lineColor"
"0","233.6","#AF0B0B"
"16","230.9","#AF0B0B"
"32","232.9","#AF0B0B"
"48","232.7","#AF0B0B"
"64","236.3","#AF0B0B"
"80","231.5","#AF0B0B"
"96","233.1","#AF0B0B"
"112","232.6","#AF0B0B"
"128","236.6","#AF0B0B"
"144","232.3","#AF0B0B"
"160","233.5","#AF0B0B"
"176","233.1","#AF0B0B"
"192","234.3","#AF0B0B"
"208","232.8","#AF0B0B"
"224","232.3","#AF0B0B"
"240","234.3","#AF0B0B"
"256","235","#AF0B0B"
"272","232.7","#AF0B0B"
"288","231.9","#AF0B0B"
"304","233.5","#AF0B0B"
"320","232.8","#AF0B0B"
"336","236.1","#AF0B0B"
"352","232.3","#AF0B0B"
"368","233.6","#AF0B0B"
"384","234","#AF0B0B"
"400","235.4","#AF0B0B"
"416","231.7","#AF0B0B"
"432","232.6","#AF0B0B"
"448","232.6","#AF0B0B"
"464","236.7","#AF0B0B"
"480","231.7","#AF0B0B"
"496","231.9","#AF0B0B"
"512","233.7","#AF0B0B"
"528","249.9","#AF0B0B"
"544","215.7","#AF0B0B"
"560","215.4","#AF0B0B"
"576","215.4","#AF0B0B"
"592","215.4","#AF0B0B"
"608","216.3","#AF0B0B"
"624","215.7","#AF0B0B"
"640","215.4","#AF0B0B"
"656","214.3","#AF0B0B"
"672","215.1","#AF0B0B"
"688","235.6","#AF0B0B"
"704","215.4","#AF0B0B"
"720","215.7","#AF0B0B"
"736","214.5","#AF0B0B"
"752","214","#AF0B0B"
"768","216","#AF0B0B"
"784","215.7","#AF0B0B"
"800","215.1","#AF0B0B"
"816","213.3","#AF0B0B"
"832","228.3","#AF0B0B"
"848","213.7","#AF0B0B"
"864","214.7","#AF0B0B"
"880","213.3","#AF0B0B"
"896","213.1","#AF0B0B"
"912","212.5","#AF0B0B"
"928","212.5","#AF0B0B"
"944","214.2","#AF0B0B"
"960","214.2","#AF0B0B"
"976","213.9","#AF0B0B"
"992","227.4","#AF0B0B"
"1008","214.5","#AF0B0B"
"1024","214.8","#AF0B0B"
"1040","214","#AF0B0B"
"1056","214.6","#AF0B0B"
"1072","216","#AF0B0B"
"1088","216","#AF0B0B"
"1104","215.7","#AF0B0B"
"1120","215.1","#AF0B0B"
"1136","220.2","#AF0B0B"
"1152","215.7","#AF0B0B"
"1168","214.2","#AF0B0B"
"1184","216","#AF0B0B"
"1200","216.1","#AF0B0B"
"1216","215.5","#AF0B0B"
"1232","215.7","#AF0B0B"
"1248","216","#AF0B0B"
"1264","214.6","#AF0B0B"
"1280","268.6","#AF0B0B"
"1296","220.3","#AF0B0B"
"1312","215.8","#AF0B0B"
"1328","214.5","#AF0B0B"
"1344","214.3","#AF0B0B"
"1360","214","#AF0B0B"
"1376","214.4","#AF0B0B"
"1392","215.1","#AF0B0B"
"1408","216.3","#AF0B0B"
"1424","215.7","#AF0B0B"
"1440","252.5","#AF0B0B"
"1456","214.3","#AF0B0B"
"1472","214.1","#AF0B0B"
"1488","214.6","#AF0B0B"
"1504","213.8","#AF0B0B"
"1520","216","#AF0B0B"
"1536","215.7","#AF0B0B"
"1552","216.5","#AF0B0B"
"1568","214.9","#AF0B0B"
"1584","238.5","#AF0B0B"
"1600","214.5","#AF0B0B"
"1616","213.7","#AF0B0B"
"1632","213.9","#AF0B0B"
"1648","213.3","#AF0B0B"
"1664","214.1","#AF0B0B"
"1680","214.6","#AF0B0B"
"1696","214.1","#AF0B0B"
"1712","213.1","#AF0B0B"
"1728","213.9","#AF0B0B"
"1744","231.9","#AF0B0B"
"1760","214.6","#AF0B0B"
"1776","215.7","#AF0B0B"
"1792","214.6","#AF0B0B"
"1808","214.3","#AF0B0B"
"1824","214.3","#AF0B0B"
"1840","215.4","#AF0B0B"
"1856","215.2","#AF0B0B"
"1872","215.4","#AF0B0B"
"1888","240.7","#AF0B0B"
"1904","218.2","#AF0B0B"
"1920","216","#AF0B0B"
"1936","215.7","#AF0B0B"
"1952","214.3","#AF0B0B"
"1968","215.1","#AF0B0B"
"1984","216","#AF0B0B"
"2000","215.1","#AF0B0B"
"2016","214.2","#AF0B0B"
"2032","213.8","#AF0B0B"
"2048","281.3","#AF0B0B"
"2064","213.7","#AF0B0B"
"2080","213.6","#AF0B0B"
"2096","213.5","#AF0B0B"
"2112","213.8","#AF0B0B"
"2128","213.6","#AF0B0B"
"2144","214.3","#AF0B0B"
"2160","212.7","#AF0B0B"
"2176","212.9","#AF0B0B"
"2192","247.6","#AF0B0B"
"2208","216.3","#AF0B0B"
"2224","211.9","#AF0B0B"
