"count","volt","lineColor"
"0","3079","#AF0B0B"
"16","3083","#AF0B0B"
"32","3081","#AF0B0B"
"48","3079","#AF0B0B"
"64","3078","#AF0B0B"
"80","3083","#AF0B0B"
"96","3080","#AF0B0B"
"112","3082","#AF0B0B"
"128","3077","#AF0B0B"
"144","3082","#AF0B0B"
"160","3081","#AF0B0B"
"176","3080","#AF0B0B"
"192","3076","#AF0B0B"
"208","3080","#AF0B0B"
"224","3082","#AF0B0B"
"240","3079","#AF0B0B"
"256","3080","#AF0B0B"
"272","3079","#AF0B0B"
"288","3081","#AF0B0B"
"304","3081","#AF0B0B"
"320","3080","#AF0B0B"
"336","3079","#AF0B0B"
"352","3082","#AF0B0B"
"368","3079","#AF0B0B"
"384","3080","#AF0B0B"
"400","3078","#AF0B0B"
"416","3082","#AF0B0B"
"432","3081","#AF0B0B"
"448","3082","#AF0B0B"
"464","3079","#AF0B0B"
"480","3082","#AF0B0B"
"496","3081","#AF0B0B"
"512","3080","#AF0B0B"
"528","3056","#AF0B0B"
"544","3095","#AF0B0B"
"560","3095","#AF0B0B"
"576","3095","#AF0B0B"
"592","3095","#AF0B0B"
"608","3095","#AF0B0B"
"624","3096","#AF0B0B"
"640","3095","#AF0B0B"
"656","3098","#AF0B0B"
"672","3095","#AF0B0B"
"688","3069","#AF0B0B"
"704","3095","#AF0B0B"
"720","3095","#AF0B0B"
"736","3096","#AF0B0B"
"752","3097","#AF0B0B"
"768","3095","#AF0B0B"
"784","3095","#AF0B0B"
"800","3095","#AF0B0B"
"816","3097","#AF0B0B"
"832","3078","#AF0B0B"
"848","3098","#AF0B0B"
"864","3095","#AF0B0B"
"880","3097","#AF0B0B"
"896","3098","#AF0B0B"
"912","3098","#AF0B0B"
"928","3099","#AF0B0B"
"944","3096","#AF0B0B"
"960","3096","#AF0B0B"
"976","3096","#AF0B0B"
"992","3082","#AF0B0B"
"1008","3096","#AF0B0B"
"1024","3096","#AF0B0B"
"1040","3098","#AF0B0B"
"1056","3097","#AF0B0B"
"1072","3095","#AF0B0B"
"1088","3095","#AF0B0B"
"1104","3095","#AF0B0B"
"1120","3095","#AF0B0B"
"1136","3085","#AF0B0B"
"1152","3096","#AF0B0B"
"1168","3096","#AF0B0B"
"1184","3095","#AF0B0B"
"1200","3096","#AF0B0B"
"1216","3097","#AF0B0B"
"1232","3095","#AF0B0B"
"1248","3095","#AF0B0B"
"1264","3097","#AF0B0B"
"1280","3095","#AF0B0B"
"1296","3090","#AF0B0B"
"1312","3097","#AF0B0B"
"1328","3096","#AF0B0B"
"1344","3097","#AF0B0B"
"1360","3098","#AF0B0B"
"1376","3095","#AF0B0B"
"1392","3096","#AF0B0B"
"1408","3095","#AF0B0B"
"1424","3095","#AF0B0B"
"1440","3036","#AF0B0B"
"1456","3097","#AF0B0B"
"1472","3095","#AF0B0B"
"1488","3098","#AF0B0B"
"1504","3095","#AF0B0B"
"1520","3095","#AF0B0B"
"1536","3095","#AF0B0B"
"1552","3094","#AF0B0B"
"1568","3097","#AF0B0B"
"1584","3066","#AF0B0B"
"1600","3092","#AF0B0B"
"1616","3098","#AF0B0B"
"1632","3096","#AF0B0B"
"1648","3097","#AF0B0B"
"1664","3095","#AF0B0B"
"1680","3098","#AF0B0B"
"1696","3095","#AF0B0B"
"1712","3098","#AF0B0B"
"1728","3096","#AF0B0B"
"1744","3076","#AF0B0B"
"1760","3097","#AF0B0B"
"1776","3095","#AF0B0B"
"1792","3097","#AF0B0B"
"1808","3097","#AF0B0B"
"1824","3097","#AF0B0B"
"1840","3096","#AF0B0B"
"1856","3097","#AF0B0B"
"1872","3096","#AF0B0B"
"1888","3082","#AF0B0B"
"1904","3092","#AF0B0B"
"1920","3095","#AF0B0B"
"1936","3095","#AF0B0B"
"1952","3097","#AF0B0B"
"1968","3095","#AF0B0B"
"1984","3095","#AF0B0B"
"2000","3095","#AF0B0B"
"2016","3096","#AF0B0B"
"2032","3095","#AF0B0B"
"2048","3072","#AF0B0B"
"2064","3098","#AF0B0B"
"2080","3096","#AF0B0B"
"2096","3095","#AF0B0B"
"2112","3095","#AF0B0B"
"2128","3096","#AF0B0B"
"2144","3097","#AF0B0B"
"2160","3097","#AF0B0B"
"2176","3099","#AF0B0B"
"2192","3042","#AF0B0B"
"2208","3095","#AF0B0B"
"2224","3099","#AF0B0B"
"2240","3098","#AF0B0B"
"2256","3098","#AF0B0B"
"2272","3099","#AF0B0B"
"2288","3098","#AF0B0B"
"2304","3096","#AF0B0B"
"2320","3096","#AF0B0B"
"2336","3099","#AF0B0B"
"2352","3069","#AF0B0B"
"2368","3098","#AF0B0B"
"2384","3096","#AF0B0B"
"2400","3095","#AF0B0B"
"2416","3097","#AF0B0B"
"2432","3097","#AF0B0B"
"2448","3096","#AF0B0B"
"2464","3097","#AF0B0B"
"2480","3099","#AF0B0B"
"2496","3075","#AF0B0B"
"2512","3095","#AF0B0B"
"2528","3098","#AF0B0B"
"2544","3095","#AF0B0B"
"2560","3095","#AF0B0B"
"2576","3096","#AF0B0B"
"2592","3097","#AF0B0B"
"2608","3095","#AF0B0B"
"2624","3097","#AF0B0B"
"2640","3095","#AF0B0B"
"2656","3077","#AF0B0B"
"2672","3079","#AF0B0B"
"2688","3077","#AF0B0B"
"2704","3076","#AF0B0B"
"2720","3078","#AF0B0B"
"2736","3078","#AF0B0B"
"2752","3076","#AF0B0B"
"2768","3076","#AF0B0B"
"2784","3078","#AF0B0B"
"2800","3076","#AF0B0B"
"2816","3078","#AF0B0B"
"2832","3076","#AF0B0B"
"2848","3075","#AF0B0B"
"2864","3076","#AF0B0B"
"2880","3078","#AF0B0B"
"2896","3076","#AF0B0B"
"2912","3075","#AF0B0B"
"2928","3076","#AF0B0B"
"2944","3077","#AF0B0B"
"2960","3078","#AF0B0B"
"2976","3077","#AF0B0B"
"2992","3076","#AF0B0B"
"3008","3075","#AF0B0B"
"3024","3077","#AF0B0B"
"3040","3077","#AF0B0B"
"3056","3076","#AF0B0B"
"3072","3077","#AF0B0B"
"3088","3079","#AF0B0B"
"3104","3076","#AF0B0B"
"3120","3076","#AF0B0B"
"3136","3078","#AF0B0B"
"3152","3075","#AF0B0B"
"3168","3078","#AF0B0B"
"3184","3077","#AF0B0B"
"3200","3079","#AF0B0B"
"3216","3078","#AF0B0B"
"3232","3075","#AF0B0B"
"3248","3076","#AF0B0B"
"3264","3077","#AF0B0B"
"3280","3078","#AF0B0B"
"3296","3079","#AF0B0B"
"3312","3077","#AF0B0B"
"3328","3076","#AF0B0B"
"3344","3077","#AF0B0B"
"3360","3075","#AF0B0B"
"3376","3075","#AF0B0B"
"3392","3079","#AF0B0B"
"3408","3078","#AF0B0B"
"3424","3076","#AF0B0B"
"3440","3076","#AF0B0B"
"3456","3076","#AF0B0B"
"3472","3077","#AF0B0B"
"3488","3078","#AF0B0B"
"3504","3079","#AF0B0B"
"3520","3077","#AF0B0B"
"3536","3079","#AF0B0B"
"3552","3083","#AF0B0B"
