"count","curr","lineColor"
"0","77.8","#AF0B0B"
"50","79.2","#AF0B0B"
"100","77.6","#AF0B0B"
"150","78.4","#AF0B0B"
"200","78.7","#AF0B0B"
"250","78.3","#AF0B0B"
"300","78","#AF0B0B"
"350","79.9","#AF0B0B"
"400","77.8","#AF0B0B"
"450","78.1","#AF0B0B"
"500","78.3","#AF0B0B"
"550","76.9","#AF0B0B"
"600","73.7","#AF0B0B"
"650","67.3","#AF0B0B"
"700","69.8","#AF0B0B"
"750","70.8","#AF0B0B"
"800","70.4","#AF0B0B"
"850","70.8","#AF0B0B"
"900","70.5","#AF0B0B"
"950","70.5","#AF0B0B"
"1000","70.7","#AF0B0B"
"1050","77.9","#AF0B0B"
"1100","69.9","#AF0B0B"
"1150","69.8","#AF0B0B"
"1200","75.8","#AF0B0B"
"1250","70.9","#AF0B0B"
"1300","70.4","#AF0B0B"
"1350","77.9","#AF0B0B"
"1400","70.6","#AF0B0B"
"1450","70.8","#AF0B0B"
"1500","70.3","#AF0B0B"
"1550","69.5","#AF0B0B"
"1600","69.8","#AF0B0B"
"1650","70.1","#AF0B0B"
"1700","69.1","#AF0B0B"
"1750","69.3","#AF0B0B"
"1800","70.2","#AF0B0B"
"1850","70.5","#AF0B0B"
"1900","70.3","#AF0B0B"
"1950","70","#AF0B0B"
"2000","69.6","#AF0B0B"
"2050","69.8","#AF0B0B"
"2100","70.1","#AF0B0B"
"2150","69.7","#AF0B0B"
"2200","69.8","#AF0B0B"
"2250","69.4","#AF0B0B"
"2300","69.5","#AF0B0B"
"2350","70.2","#AF0B0B"
"2400","70.4","#AF0B0B"
"2450","70.4","#AF0B0B"
"2500","70.2","#AF0B0B"
"2550","70.2","#AF0B0B"
"2600","70.4","#AF0B0B"
"2650","70.5","#AF0B0B"
"2700","71.5","#AF0B0B"
"2750","77.8","#AF0B0B"
"2800","77.3","#AF0B0B"
"2850","77.9","#AF0B0B"
"2900","77.4","#AF0B0B"
"2950","77.7","#AF0B0B"
"3000","77","#AF0B0B"
"3050","76.8","#AF0B0B"
"3100","77","#AF0B0B"
"3150","77","#AF0B0B"
"3200","77.6","#AF0B0B"
"3250","77.9","#AF0B0B"
"3300","77.4","#AF0B0B"
"3350","77.7","#AF0B0B"
"3400","77.9","#AF0B0B"
"3450","77.5","#AF0B0B"
"3500","78","#AF0B0B"
"3550","77.7","#AF0B0B"
"3600","77.9","#AF0B0B"
"3650","78.3","#AF0B0B"
"3700","78","#AF0B0B"
"3750","78.7","#AF0B0B"
"3800","72.7","#AF0B0B"
"3850","70.2","#AF0B0B"
"3900","82.8","#AF0B0B"
"3950","81.6","#AF0B0B"
"4000","89.7","#AF0B0B"
"4050","71.1","#AF0B0B"
"4100","77.8","#AF0B0B"
"4150","71.5","#AF0B0B"
"4200","77.8","#AF0B0B"
"4250","77.5","#AF0B0B"
"4300","79.7","#AF0B0B"
"4350","80.9","#AF0B0B"
"4400","81.1","#AF0B0B"
"4450","70.5","#AF0B0B"
"4500","72.6","#AF0B0B"
"4550","73.8","#AF0B0B"
"4600","71.2","#AF0B0B"
"4650","71.4","#AF0B0B"
"4700","71.9","#AF0B0B"
"4750","72.4","#AF0B0B"
"4800","70.9","#AF0B0B"
"4850","71.3","#AF0B0B"
"4900","76","#076969"
"4950","77.9","#076969"
"5000","78","#076969"
"5050","78.4","#076969"
"5100","78","#076969"
"5150","78.8","#076969"
"5200","65.9","#AF550B"
"5250","16.1","#AF550B"
