"count","pow","lineColor"
"0","239.1","#AF0B0B"
"50","243.1","#AF0B0B"
"100","238.6","#AF0B0B"
"150","240.9","#AF0B0B"
"200","241.7","#AF0B0B"
"250","240.6","#AF0B0B"
"300","239.6","#AF0B0B"
"350","245.2","#AF0B0B"
"400","239.2","#AF0B0B"
"450","240","#AF0B0B"
"500","240.5","#AF0B0B"
"550","236.6","#AF0B0B"
"600","227.2","#AF0B0B"
"650","207.8","#AF0B0B"
"700","215.8","#AF0B0B"
"750","218.7","#AF0B0B"
"800","217.6","#AF0B0B"
"850","218.8","#AF0B0B"
"900","217.7","#AF0B0B"
"950","217.9","#AF0B0B"
"1000","218.5","#AF0B0B"
"1050","240.9","#AF0B0B"
"1100","216","#AF0B0B"
"1150","215.8","#AF0B0B"
"1200","232.5","#AF0B0B"
"1250","219.1","#AF0B0B"
"1300","217.6","#AF0B0B"
"1350","238.9","#AF0B0B"
"1400","218.2","#AF0B0B"
"1450","218.8","#AF0B0B"
"1500","217.2","#AF0B0B"
"1550","215","#AF0B0B"
"1600","215.9","#AF0B0B"
"1650","216.8","#AF0B0B"
"1700","213.8","#AF0B0B"
"1750","214.4","#AF0B0B"
"1800","217","#AF0B0B"
"1850","218","#AF0B0B"
"1900","217.2","#AF0B0B"
"1950","216.5","#AF0B0B"
"2000","215.2","#AF0B0B"
"2050","215.8","#AF0B0B"
"2100","216.6","#AF0B0B"
"2150","215.5","#AF0B0B"
"2200","215.8","#AF0B0B"
"2250","214.6","#AF0B0B"
"2300","215","#AF0B0B"
"2350","216.9","#AF0B0B"
"2400","217.6","#AF0B0B"
"2450","217.6","#AF0B0B"
"2500","216.9","#AF0B0B"
"2550","216.9","#AF0B0B"
"2600","217.6","#AF0B0B"
"2650","217.9","#AF0B0B"
"2700","220.9","#AF0B0B"
"2750","239.1","#AF0B0B"
"2800","237.6","#AF0B0B"
"2850","239.4","#AF0B0B"
"2900","238","#AF0B0B"
"2950","238.9","#AF0B0B"
"3000","236.8","#AF0B0B"
"3050","236.2","#AF0B0B"
"3100","236.8","#AF0B0B"
"3150","236.8","#AF0B0B"
"3200","238.6","#AF0B0B"
"3250","239.5","#AF0B0B"
"3300","238","#AF0B0B"
"3350","238.8","#AF0B0B"
"3400","239.4","#AF0B0B"
"3450","238.3","#AF0B0B"
"3500","239.7","#AF0B0B"
"3550","238.8","#AF0B0B"
"3600","239.3","#AF0B0B"
"3650","240.6","#AF0B0B"
"3700","239.7","#AF0B0B"
"3750","241.8","#AF0B0B"
"3800","224.1","#AF0B0B"
"3850","216.9","#AF0B0B"
"3900","254.8","#AF0B0B"
"3950","251.4","#AF0B0B"
"4000","273.8","#AF0B0B"
"4050","219.5","#AF0B0B"
"4100","238.3","#AF0B0B"
"4150","220.6","#AF0B0B"
"4200","239.3","#AF0B0B"
"4250","237.6","#AF0B0B"
"4300","243.4","#AF0B0B"
"4350","248.1","#AF0B0B"
"4400","250.6","#AF0B0B"
"4450","217.9","#AF0B0B"
"4500","223.8","#AF0B0B"
"4550","227","#AF0B0B"
"4600","219.8","#AF0B0B"
"4650","220.4","#AF0B0B"
"4700","221.9","#AF0B0B"
"4750","223.2","#AF0B0B"
"4800","219","#AF0B0B"
"4850","220.3","#AF0B0B"
"4900","233.9","#076969"
"4950","239.5","#076969"
"5000","239.8","#076969"
"5050","240.9","#076969"
"5100","239.7","#076969"
"5150","241.9","#076969"
"5200","204.2","#AF550B"
"5250","51.6","#AF550B"
"5300","51.3","#AF550B"
"5350","51.4","#AF550B"
"5400","51","#AF550B"
"5450","52.3","#AF550B"
"5500","51.3","#AF550B"
"5550","51.3","#AF550B"
"5600","51","#AF550B"
"5650","51.4","#AF550B"
"5700","51.3","#AF550B"
"5750","51.3","#AF550B"
"5800","51.3","#AF550B"
"5850","51","#AF550B"
"5900","51","#AF550B"
"5950","51.3","#AF550B"
"6000","51","#AF550B"
"6050","51.3","#AF550B"
"6100","51.3","#AF550B"
"6150","51.4","#AF550B"
"6200","50.7","#AF550B"
"6250","51","#AF550B"
"6300","51.4","#AF550B"
"6350","53.5","#AF550B"
"6400","51.3","#AF550B"
"6450","51","#AF550B"
"6500","51","#AF550B"
"6550","51.4","#AF550B"
"6600","52.3","#AF550B"
"6650","51.4","#AF550B"
"6700","51","#AF550B"
"6750","51","#AF550B"
"6800","51.3","#AF550B"
"6850","51","#AF550B"
"6900","51.1","#AF550B"
"6950","50.7","#AF550B"
"7000","51","#AF550B"
"7050","51","#AF550B"
"7100","51.4","#AF550B"
"7150","51","#AF550B"
"7200","51.3","#AF550B"
"7250","51","#AF550B"
"7300","51","#AF550B"
"7350","51.3","#AF550B"
"7400","51","#AF550B"
"7450","51.3","#AF550B"
"7500","51.7","#AF550B"
"7550","51","#AF550B"
"7600","51.3","#AF550B"
"7650","51.3","#AF550B"
"7700","51.3","#AF550B"
"7750","51","#AF550B"
"7800","51.3","#AF550B"
"7850","51.4","#AF550B"
"7900","51","#AF550B"
"7950","51.3","#AF550B"
"8000","51.1","#AF550B"
"8050","51","#AF550B"
"8100","51","#AF550B"
"8150","51","#AF550B"
"8200","51.3","#AF550B"
"8250","51","#AF550B"
"8300","51","#AF550B"
"8350","51.3","#AF550B"
"8400","51.7","#AF550B"
"8450","51.3","#AF550B"
"8500","51.4","#AF550B"
"8550","51","#AF550B"
"8600","51.4","#AF550B"
"8650","51","#AF550B"
"8700","51.3","#AF550B"
"8750","51","#AF550B"
"8800","51","#AF550B"
"8850","51","#AF550B"
"8900","51","#AF550B"
"8950","51.3","#AF550B"
"9000","51","#AF550B"
"9050","51","#AF550B"
"9100","51.3","#AF550B"
"9150","52","#AF550B"
"9200","51.3","#AF550B"
"9250","51.3","#AF550B"
"9300","51","#AF550B"
"9350","50.3","#AF550B"
"9400","51.3","#AF550B"
"9450","51.4","#AF550B"
"9500","51.3","#AF550B"
"9550","51.4","#AF550B"
"9600","51.3","#AF550B"
"9650","50.7","#AF550B"
"9700","51","#AF550B"
"9750","51.4","#AF550B"
"9800","51","#AF550B"
"9850","51.3","#AF550B"
"9900","51","#AF550B"
"9950","51","#AF550B"
"10000","51.3","#AF550B"
"10050","51.6","#AF550B"
"10100","51.3","#AF550B"
"10150","51","#AF550B"
"10200","51","#AF550B"
"10250","50.7","#AF550B"
