"count","volt","lineColor"
"0","3074","#AF0B0B"
"50","3070","#AF0B0B"
"100","3075","#AF0B0B"
"150","3073","#AF0B0B"
"200","3072","#AF0B0B"
"250","3074","#AF0B0B"
"300","3073","#AF0B0B"
"350","3069","#AF0B0B"
"400","3075","#AF0B0B"
"450","3074","#AF0B0B"
"500","3072","#AF0B0B"
"550","3077","#AF0B0B"
"600","3083","#AF0B0B"
"650","3088","#AF0B0B"
"700","3092","#AF0B0B"
"750","3090","#AF0B0B"
"800","3092","#AF0B0B"
"850","3091","#AF0B0B"
"900","3088","#AF0B0B"
"950","3091","#AF0B0B"
"1000","3091","#AF0B0B"
"1050","3093","#AF0B0B"
"1100","3091","#AF0B0B"
"1150","3093","#AF0B0B"
"1200","3068","#AF0B0B"
"1250","3091","#AF0B0B"
"1300","3091","#AF0B0B"
"1350","3068","#AF0B0B"
"1400","3092","#AF0B0B"
"1450","3091","#AF0B0B"
"1500","3091","#AF0B0B"
"1550","3094","#AF0B0B"
"1600","3094","#AF0B0B"
"1650","3093","#AF0B0B"
"1700","3095","#AF0B0B"
"1750","3094","#AF0B0B"
"1800","3092","#AF0B0B"
"1850","3093","#AF0B0B"
"1900","3091","#AF0B0B"
"1950","3093","#AF0B0B"
"2000","3092","#AF0B0B"
"2050","3093","#AF0B0B"
"2100","3091","#AF0B0B"
"2150","3093","#AF0B0B"
"2200","3092","#AF0B0B"
"2250","3093","#AF0B0B"
"2300","3094","#AF0B0B"
"2350","3091","#AF0B0B"
"2400","3092","#AF0B0B"
"2450","3091","#AF0B0B"
"2500","3091","#AF0B0B"
"2550","3091","#AF0B0B"
"2600","3091","#AF0B0B"
"2650","3091","#AF0B0B"
"2700","3090","#AF0B0B"
"2750","3074","#AF0B0B"
"2800","3075","#AF0B0B"
"2850","3074","#AF0B0B"
"2900","3075","#AF0B0B"
"2950","3075","#AF0B0B"
"3000","3076","#AF0B0B"
"3050","3076","#AF0B0B"
"3100","3076","#AF0B0B"
"3150","3076","#AF0B0B"
"3200","3075","#AF0B0B"
"3250","3075","#AF0B0B"
"3300","3076","#AF0B0B"
"3350","3074","#AF0B0B"
"3400","3074","#AF0B0B"
"3450","3075","#AF0B0B"
"3500","3074","#AF0B0B"
"3550","3074","#AF0B0B"
"3600","3073","#AF0B0B"
"3650","3073","#AF0B0B"
"3700","3074","#AF0B0B"
"3750","3073","#AF0B0B"
"3800","3083","#AF0B0B"
"3850","3091","#AF0B0B"
"3900","3078","#AF0B0B"
"3950","3082","#AF0B0B"
"4000","3053","#AF0B0B"
"4050","3088","#AF0B0B"
"4100","3063","#AF0B0B"
"4150","3086","#AF0B0B"
"4200","3077","#AF0B0B"
"4250","3066","#AF0B0B"
"4300","3055","#AF0B0B"
"4350","3067","#AF0B0B"
"4400","3091","#AF0B0B"
"4450","3091","#AF0B0B"
"4500","3083","#AF0B0B"
"4550","3077","#AF0B0B"
"4600","3088","#AF0B0B"
"4650","3087","#AF0B0B"
"4700","3087","#AF0B0B"
"4750","3083","#AF0B0B"
"4800","3089","#AF0B0B"
"4850","3090","#AF0B0B"
"4900","3078","#076969"
"4950","3075","#076969"
"5000","3075","#076969"
"5050","3073","#076969"
"5100","3074","#076969"
"5150","3070","#076969"
"5200","3099","#AF550B"
"5250","3211","#AF550B"
"5300","3211","#AF550B"
"5350","3213","#AF550B"
"5400","3211","#AF550B"
"5450","3209","#AF550B"
"5500","3211","#AF550B"
"5550","3212","#AF550B"
"5600","3213","#AF550B"
"5650","3214","#AF550B"
"5700","3211","#AF550B"
"5750","3211","#AF550B"
"5800","3212","#AF550B"
"5850","3211","#AF550B"
"5900","3212","#AF550B"
"5950","3212","#AF550B"
"6000","3212","#AF550B"
"6050","3212","#AF550B"
