160,0
2	226.30,148.7,243.7	73.10,47.2,79	3096.82,3085,3152	3950
3	225.94,218.3,245.4	72.95,70.4,79.4	3097.75,3089,3103	1000
4	238.26,224.4,241.5	77.17,72.4,78.3	3088.14,3085,3100	350
5	51.83,40.8,206.5	16.14,12.7,66.4	3214.46,3110,3216	10000
6	225.81,148.6,244	72.95,47.2,79.1	3096.77,3084,3150	3900
7	225.31,196.6,240.4	72.78,63.4,77.6	3096.65,3082,3104	1000
8	239.49,230.5,242.9	77.60,74.5,78.8	3086.86,3083,3095	350
9	51.67,50.4,156.4	16.09,15.7,49.7	3214.55,3147,3216	10000
10	226.96,178.1,244.2	73.32,56.8,79.2	3096.58,3084,3137	3900
11	226.01,217.5,244.5	72.96,70.1,79	3098.57,3086,3104	1050
12	241.40,240.2,242.4	78.25,77.8,78.6	3085.83,3084,3088	300
13	51.79,45.9,196.9	16.13,14.3,63.1	3214.51,3121,3216	10000
14	226.21,131.3,244.8	73.06,41.3,79.4	3097.84,3083,3181	3950
15	226.27,209.7,241.9	73.03,67.6,78.4	3099.10,3086,3110	1000
16	239.11,234.5,242.7	77.46,75.9,78.7	3087.71,3085,3090	350
17	51.16,50.7,64	15.92,15.8,20	3214.93,3203,3216	10000
18	228.26,215.3,254.1	73.75,69.3,82.5	3096.19,3081,3107	3900
19	223.56,212.3,232.5	72.16,68.4,75.3	3099.20,3087,3105	1000
20	239.04,225.2,244.1	77.41,72.7,79.1	3088.29,3086,3098	350
21	51.45,48.5,110.2	16.01,15.1,34.7	3214.82,3177,3216	10000
160,5
4	225.05,146.5,243.2	73.19,46.7,79.5	3076.27,3052,3138	3900
5	225.35,220.4,246.7	73.32,71.7,81.1	3074.38,3043,3081	1050
6	237.50,228.7,240.4	77.57,74.8,78.5	3062.50,3058,3065	300
7	51.69,39.5,208.8	16.13,12.3,67.7	3210.73,3085,3213	10000
8	224.58,126.4,243.2	73.04,40,79.5	3076.19,3060,3162	3950
9	225.29,216.6,242.9	73.24,70.3,79	3076.70,3066,3086	1000
10	237.82,232.8,240.2	77.62,75.9,78.4	3064.67,3063,3068	300
11	51.73,41.3,211.9	16.14,12.9,68.8	3210.85,3081,3214	10000
12	224.71,148.5,250.1	73.09,47.3,82.2	3075.83,3043,3141	3900
13	245.02,221,285.7	80.21,71.8,94.2	3056.86,3008,3078	1050
14	239.62,238.3,241.5	78.25,77.8,78.9	3062.33,3061,3063	300
15	51.77,40.7,210.4	16.15,12.8,68.1	3210.69,3091,3214	10000
16	224.81,112.3,243.5	73.13,35.4,79.7	3076.05,3056,3174	3900
17	227.65,218.1,241.9	74.12,70.8,78.8	3072.15,3054,3082	1000
18	237.20,220.5,242.9	77.41,71.6,79.4	3064.86,3060,3081	350
19	51.53,43.6,162.8	16.07,13.6,52	3211.03,3132,3213	10000
20	225.45,168.8,247.1	73.32,54,80.8	3076.10,3059,3127	3950
21	225.45,215.5,248.2	73.31,69.9,81.3	3076.05,3053,3085	1000
22	237.98,231.7,241.2	77.68,75.5,78.8	3064.17,3062,3069	300
23	52.01,42.6,255.8	16.24,13.3,84	3210.70,3046,3214	10000
160,10
4	225.53,99.1,254	73.17,31.2,82.7	3084.18,3051,3177	3900
5	229.88,218.8,242	74.69,70.8,78.7	3078.81,3058,3091	1050
6	240.63,238.5,243	78.33,77.6,79.2	3072.50,3069,3075	300
7	51.70,49.4,165.9	16.12,15.4,52.8	3211.80,3143,3215	10000
8	226.75,152.7,248.7	73.55,48.6,81.1	3084.40,3059,3143	3900
9	232.87,218,259.6	75.60,70.7,84.4	3081.10,3058,3091	1050
10	239.43,238.2,243.2	77.92,77.5,79.2	3073.50,3071,3075	300
11	52.16,47.2,273.5	16.28,14.7,89.7	3211.57,3050,3215	10000
12	225.52,99.1,268.3	73.15,31.2,87.7	3084.90,3060,3179	3950
13	232.55,218.7,256.4	75.60,70.8,83.5	3076.95,3059,3090	1000
14	237.34,228.6,241.9	77.19,74.2,78.7	3075.71,3074,3082	350
15	51.19,39.8,106	15.96,12.4,33.4	3212.05,3176,3215	10000
16	227.77,194.5,264.4	73.88,62.6,86.4	3084.08,3061,3108	3900
17	233.22,214.9,263.9	75.83,70.1,86.5	3076.29,3051,3091	1050
18	242.38,240,244	78.92,78.1,79.5	3072.00,3070,3074	300
19	52.00,47.2,237.6	16.22,14.7,77.3	3211.80,3074,3215	10000
20	226.00,81.2,254.2	73.31,25.4,82.8	3084.95,3066,3198	3950
21	235.07,217.2,266	76.44,70.3,86.3	3076.35,3038,3091	1000
22	240.07,233.8,242.9	78.10,75.8,79.1	3074.71,3072,3085	350
23	51.89,44,224.4	16.19,13.7,72.8	3211.82,3083,3215	10000
160,15
3	224.24,170,246.8	73.32,54.7,80.5	3059.78,3037,3109	3900
4	237.16,217.6,285	77.82,71,94.4	3048.65,3010,3065	1000
5	241.07,237.2,254.5	79.07,77.8,83.3	3049.67,3047,3056	300
