"count","pow","lineColor"
"0","293.7","#AF0B0B"
"50","237.3","#AF0B0B"
"100","242.1","#AF0B0B"
"150","228.5","#AF0B0B"
"200","239.4","#AF0B0B"
"250","225.1","#AF0B0B"
"300","223.8","#AF0B0B"
"350","229.7","#AF0B0B"
"400","242.8","#AF0B0B"
"450","227.9","#AF0B0B"
"500","237.3","#AF0B0B"
"550","223.3","#AF0B0B"
"600","233.7","#AF0B0B"
"650","224.9","#AF0B0B"
"700","223.8","#AF0B0B"
"750","226.4","#AF0B0B"
"800","223.2","#AF0B0B"
"850","222.7","#AF0B0B"
"900","225.3","#AF0B0B"
"950","222.3","#AF0B0B"
"1000","239.2","#AF0B0B"
"1050","247.3","#AF0B0B"
"1100","245.9","#AF0B0B"
"1150","245.4","#AF0B0B"
"1200","246.7","#AF0B0B"
"1250","246.5","#AF0B0B"
"1300","115.7","#076969"
"1350","51.9","#076969"
"1400","52.2","#076969"
"1450","52.2","#076969"
"1500","51.9","#076969"
"1550","51.9","#076969"
"1600","52.2","#076969"
"1650","51.9","#076969"
"1700","52.2","#076969"
"1750","52.2","#076969"
"1800","52.2","#076969"
"1850","52.1","#076969"
"1900","52.2","#076969"
"1950","51.9","#076969"
"2000","51.9","#076969"
"2050","52.2","#076969"
"2100","52.2","#076969"
"2150","51.9","#076969"
"2200","52.2","#076969"
"2250","51.9","#076969"
"2300","52.2","#076969"
"2350","51.9","#076969"
"2400","52.2","#076969"
"2450","51.9","#076969"
"2500","51.9","#076969"
"2550","52.2","#076969"
"2600","52.2","#076969"
"2650","52.2","#076969"
"2700","51.9","#076969"
"2750","52.2","#076969"
"2800","51.9","#076969"
"2850","51.8","#076969"
"2900","51.9","#076969"
"2950","51.9","#076969"
"3000","51.8","#076969"
"3050","51.8","#076969"
"3100","51.8","#076969"
"3150","51.9","#076969"
"3200","52.2","#076969"
"3250","51.8","#076969"
"3300","51.8","#076969"
"3350","51.8","#076969"
"3400","51.9","#076969"
"3450","51.9","#076969"
"3500","52.2","#076969"
"3550","51.9","#076969"
"3600","51.9","#076969"
"3650","51.8","#076969"
"3700","51.9","#076969"
"3750","51.8","#076969"
"3800","51.8","#076969"
"3850","51.8","#076969"
"3900","51.9","#076969"
"3950","51.5","#076969"
"4000","51.5","#076969"
"4050","51.8","#076969"
"4100","52.2","#076969"
"4150","51.9","#076969"
"4200","51.9","#076969"
"4250","51.9","#076969"
"4300","52.4","#076969"
"4350","51.8","#076969"
"4400","52.8","#076969"
"4450","51.8","#076969"
"4500","51.9","#076969"
"4550","52.1","#076969"
"4600","51.9","#076969"
"4650","51.9","#076969"
"4700","51.8","#076969"
"4750","52.2","#076969"
"4800","51.5","#076969"
"4850","51.9","#076969"
"4900","51.9","#076969"
"4950","51.9","#076969"
"5000","51.9","#076969"
"5050","51.9","#076969"
"5100","51.9","#076969"
"5150","52.5","#076969"
"5200","51.8","#076969"
"5250","52.2","#076969"
"5300","51.9","#076969"
"5350","51.8","#076969"
"5400","51.5","#076969"
"5450","51.9","#076969"
"5500","51.9","#076969"
"5550","51.8","#076969"
"5600","52.2","#076969"
"5650","51.8","#076969"
"5700","52.2","#076969"
"5750","52.2","#076969"
"5800","51.8","#076969"
"5850","51.9","#076969"
"5900","51.8","#076969"
"5950","51.9","#076969"
"6000","51.5","#076969"
"6050","51.9","#076969"
"6100","51.5","#076969"
"6150","51.5","#076969"
"6200","51.9","#076969"
"6250","51.6","#076969"
"6300","52.2","#076969"
"6350","52.2","#076969"
"6400","51.9","#076969"
"6450","51.9","#076969"
"6500","51.9","#076969"
"6550","51.8","#076969"
"6600","51.8","#076969"
"6650","51.9","#076969"
"6700","51.8","#076969"
"6750","51.9","#076969"
"6800","51.8","#076969"
"6850","51.9","#076969"
"6900","51.9","#076969"
"6950","51.8","#076969"
"7000","51.9","#076969"
"7050","51.9","#076969"
"7100","51.8","#076969"
"7150","51.8","#076969"
"7200","51.9","#076969"
"7250","51.9","#076969"
"7300","51.5","#076969"
"7350","51.9","#076969"
"7400","51.9","#076969"
"7450","51.8","#076969"
"7500","51.8","#076969"
"7550","51.5","#076969"
"7600","51.9","#076969"
"7650","51.9","#076969"
"7700","51.9","#076969"
"7750","51.9","#076969"
"7800","52.2","#076969"
"7850","51.8","#076969"
"7900","51.8","#076969"
"7950","52.2","#076969"
"8000","51.8","#076969"
"8050","51.8","#076969"
"8100","51.8","#076969"
"8150","51.9","#076969"
"8200","51.9","#076969"
"8250","51.9","#076969"
"8300","51.9","#076969"
"8350","51.9","#076969"
"8400","51.8","#076969"
"8450","51.8","#076969"
"8500","51.8","#076969"
"8550","51.9","#076969"
"8600","51.8","#076969"
"8650","52.2","#076969"
"8700","51.8","#076969"
"8750","51.8","#076969"
"8800","51.5","#076969"
"8850","52.2","#076969"
"8900","51.8","#076969"
"8950","51.9","#076969"
"9000","51.8","#076969"
"9050","51.8","#076969"
"9100","51.9","#076969"
"9150","51.8","#076969"
"9200","51.8","#076969"
"9250","51.8","#076969"
"9300","51.9","#076969"
"9350","51.5","#076969"
"9400","51.8","#076969"
"9450","51.8","#076969"
"9500","51.8","#076969"
"9550","51.9","#076969"
"9600","51.9","#076969"
"9650","51.8","#076969"
"9700","51.8","#076969"
"9750","51.5","#076969"
"9800","51.9","#076969"
"9850","51.9","#076969"
"9900","51.8","#076969"
"9950","51.9","#076969"
"10000","51.5","#076969"
"10050","51.9","#076969"
"10100","51.9","#076969"
"10150","52.2","#076969"
"10200","51.9","#076969"
"10250","51.8","#076969"
"10300","51.9","#076969"
"10350","51.9","#076969"
"10400","51.5","#076969"
"10450","51.9","#076969"
"10500","51.9","#076969"
"10550","52.2","#076969"
"10600","51.9","#076969"
"10650","51.9","#076969"
"10700","51.9","#076969"
"10750","51.9","#076969"
"10800","51.9","#076969"
"10850","52.2","#076969"
"10900","51.8","#076969"
"10950","51.9","#076969"
"11000","51.8","#076969"
"11050","51.9","#076969"
"11100","51.8","#076969"
"11150","51.9","#076969"
"11200","51.8","#076969"
"11250","51.8","#076969"
"11300","224.3","#AF550B"
"11350","244.2","#AF550B"
"11400","247.9","#AF550B"
"11450","245.3","#AF550B"
"11500","242","#AF550B"
"11550","242.9","#AF550B"
"11600","245.5","#AF550B"
"11650","243.8","#AF550B"
"11700","248.6","#AF550B"
"11750","243.7","#AF550B"
"11800","242.9","#AF550B"
"11850","234.4","#AF550B"
"11900","221.8","#AF550B"
"11950","221.7","#AF550B"
"12000","221.3","#AF550B"
"12050","220.9","#AF550B"
"12100","220.2","#AF550B"
"12150","222.3","#AF550B"
"12200","222.1","#AF550B"
"12250","221.8","#AF550B"
"12300","222.7","#AF550B"
"12350","220.9","#AF550B"
"12400","221.2","#AF550B"
"12450","221.2","#AF550B"
"12500","220","#AF550B"
"12550","220","#AF550B"
"12600","221.9","#AF550B"
"12650","222.1","#AF550B"
"12700","222.4","#AF550B"
"12750","223.5","#AF550B"
"12800","219.8","#AF550B"
"12850","220.6","#AF550B"
"12900","230.1","#AF550B"
"12950","220.2","#AF550B"
"13000","220","#AF550B"
"13050","231.2","#AF550B"
"13100","221.5","#AF550B"
"13150","221.1","#AF550B"
"13200","221.9","#AF550B"
"13250","221.2","#AF550B"
"13300","221.7","#AF550B"
"13350","219.9","#AF550B"
"13400","220.3","#AF550B"
"13450","219.4","#AF550B"
"13500","220.6","#AF550B"
"13550","222.1","#AF550B"
"13600","220.9","#AF550B"
"13650","219.6","#AF550B"
"13700","219.7","#AF550B"
"13750","218.8","#AF550B"
"13800","221.1","#AF550B"
"13850","220.6","#AF550B"
"13900","220.9","#AF550B"
"13950","220.2","#AF550B"
"14000","243.5","#AF550B"
"14050","243.2","#AF550B"
"14100","244","#AF550B"
"14150","243.7","#AF550B"
"14200","244.5","#AF550B"
"14250","244.3","#AF550B"
"14300","243.3","#AF550B"
"14350","243.2","#AF550B"
"14400","243.8","#AF550B"
"14450","244.1","#AF550B"
"14500","243.5","#AF550B"
"14550","243.5","#AF550B"
"14600","244.1","#AF550B"
"14650","243.5","#AF550B"
"14700","243.9","#AF550B"
"14750","243.2","#AF550B"
"14800","244.4","#AF550B"
"14850","246.5","#AF550B"
"14900","246.7","#AF550B"
"14950","246","#AF550B"
"15000","235.9","#AF550B"
"15050","221.5","#AF550B"
"15100","253.6","#098C09"
"15150","242.4","#098C09"
"15200","231.9","#098C09"
"15250","244.9","#098C09"
"15300","227.4","#098C09"
"15350","243.6","#098C09"
"15400","225","#098C09"
"15450","226.8","#098C09"
"15500","229.2","#098C09"
"15550","235.8","#098C09"
"15600","230.8","#098C09"
"15650","231.8","#098C09"
"15700","223.9","#098C09"
"15750","224.5","#098C09"
"15800","231.2","#098C09"
"15850","223.8","#098C09"
"15900","226.1","#098C09"
"15950","223.3","#098C09"
"16000","224.1","#098C09"
"16050","225.9","#098C09"
"16100","233.1","#AF0B0B"
"16150","245.3","#AF0B0B"
"16200","247.8","#AF0B0B"
"16250","247.3","#AF0B0B"
"16300","245.5","#AF0B0B"
"16350","246.2","#AF0B0B"
"16400","214.1","#076969"
"16450","52.2","#076969"
"16500","52.5","#076969"
"16550","52.2","#076969"
"16600","52.2","#076969"
"16650","52.2","#076969"
"16700","52.5","#076969"
"16750","51.9","#076969"
"16800","52.2","#076969"
"16850","52.2","#076969"
"16900","51.9","#076969"
"16950","51.9","#076969"
"17000","51.9","#076969"
"17050","51.9","#076969"
"17100","51.9","#076969"
"17150","51.8","#076969"
"17200","51.8","#076969"
"17250","52.2","#076969"
"17300","51.8","#076969"
"17350","52.2","#076969"
"17400","51.9","#076969"
"17450","51.9","#076969"
"17500","52.2","#076969"
"17550","51.9","#076969"
"17600","52.2","#076969"
"17650","52.2","#076969"
"17700","51.9","#076969"
"17750","52.2","#076969"
"17800","51.9","#076969"
"17850","51.8","#076969"
"17900","51.8","#076969"
"17950","51.9","#076969"
"18000","51.8","#076969"
"18050","52.2","#076969"
"18100","51.9","#076969"
"18150","51.9","#076969"
"18200","51.8","#076969"
"18250","51.9","#076969"
"18300","52.5","#076969"
"18350","51.9","#076969"
"18400","52.2","#076969"
"18450","51.8","#076969"
"18500","51.8","#076969"
"18550","51.9","#076969"
"18600","51.9","#076969"
"18650","53.5","#076969"
"18700","51.9","#076969"
"18750","52.2","#076969"
"18800","51.8","#076969"
"18850","51.9","#076969"
"18900","51.9","#076969"
"18950","51.8","#076969"
"19000","51.8","#076969"
"19050","51.8","#076969"
"19100","51.9","#076969"
"19150","51.9","#076969"
"19200","51.8","#076969"
"19250","51.9","#076969"
"19300","51.9","#076969"
"19350","51.8","#076969"
"19400","52.2","#076969"
"19450","51.9","#076969"
"19500","51.8","#076969"
"19550","51.5","#076969"
"19600","52.2","#076969"
"19650","51.9","#076969"
"19700","51.9","#076969"
"19750","51.8","#076969"
"19800","51.8","#076969"
"19850","51.8","#076969"
"19900","51.9","#076969"
"19950","51.8","#076969"
"20000","51.9","#076969"
"20050","51.9","#076969"
"20100","51.9","#076969"
"20150","52.5","#076969"
"20200","51.9","#076969"
"20250","51.9","#076969"
"20300","51.8","#076969"
"20350","51.5","#076969"
"20400","51.9","#076969"
"20450","51.8","#076969"
"20500","52.2","#076969"
"20550","51.8","#076969"
"20600","52.2","#076969"
"20650","51.8","#076969"
"20700","51.9","#076969"
"20750","51.9","#076969"
"20800","51.9","#076969"
"20850","51.5","#076969"
"20900","51.9","#076969"
"20950","51.8","#076969"
"21000","51.8","#076969"
"21050","51.9","#076969"
"21100","51.8","#076969"
"21150","51.9","#076969"
"21200","51.9","#076969"
"21250","51.9","#076969"
"21300","51.5","#076969"
"21350","51.5","#076969"
"21400","51.5","#076969"
"21450","51.9","#076969"
"21500","51.9","#076969"
"21550","51.8","#076969"
"21600","49.3","#076969"
"21650","51.9","#076969"
"21700","51.8","#076969"
"21750","51.9","#076969"
"21800","51.9","#076969"
"21850","51.9","#076969"
"21900","51.8","#076969"
"21950","51.8","#076969"
"22000","51.8","#076969"
"22050","51.9","#076969"
"22100","51.8","#076969"
"22150","51.9","#076969"
"22200","51.9","#076969"
"22250","52.2","#076969"
"22300","51.9","#076969"
"22350","51.9","#076969"
"22400","51.8","#076969"
"22450","51.9","#076969"
"22500","51.9","#076969"
"22550","51.5","#076969"
"22600","51.9","#076969"
"22650","51.9","#076969"
"22700","52.2","#076969"
"22750","51.9","#076969"
"22800","51.9","#076969"
"22850","52.2","#076969"
"22900","51.5","#076969"
"22950","51.9","#076969"
"23000","51.8","#076969"
"23050","51.9","#076969"
"23100","51.9","#076969"
"23150","52.5","#076969"
"23200","51.9","#076969"
"23250","51.9","#076969"
"23300","51.9","#076969"
"23350","51.9","#076969"
"23400","51.9","#076969"
"23450","51.9","#076969"
"23500","51.9","#076969"
"23550","51.9","#076969"
"23600","51.8","#076969"
"23650","51.5","#076969"
"23700","51.9","#076969"
"23750","51.8","#076969"
"23800","51.9","#076969"
"23850","51.8","#076969"
"23900","51.8","#076969"
"23950","51.8","#076969"
"24000","51.9","#076969"
"24050","51.9","#076969"
"24100","51.9","#076969"
"24150","51.9","#076969"
"24200","51.8","#076969"
"24250","51.9","#076969"
"24300","51.8","#076969"
"24350","51.9","#076969"
"24400","51.9","#076969"
"24450","51.9","#076969"
"24500","51.9","#076969"
"24550","51.9","#076969"
"24600","51.9","#076969"
"24650","51.5","#076969"
"24700","51.9","#076969"
"24750","51.5","#076969"
"24800","52.5","#076969"
"24850","51.9","#076969"
"24900","51.9","#076969"
"24950","51.9","#076969"
"25000","51.8","#076969"
"25050","51.8","#076969"
"25100","51.8","#076969"
"25150","51.8","#076969"
"25200","51.9","#076969"
"25250","51.9","#076969"
"25300","51.5","#076969"
"25350","51.8","#076969"
"25400","51.9","#076969"
"25450","51.9","#076969"
"25500","51.9","#076969"
"25550","51.9","#076969"
"25600","51.8","#076969"
"25650","51.8","#076969"
"25700","51.9","#076969"
"25750","51.5","#076969"
"25800","51.5","#076969"
"25850","51.9","#076969"
"25900","51.9","#076969"
"25950","52.2","#076969"
"26000","51.9","#076969"
"26050","51.9","#076969"
"26100","51.8","#076969"
"26150","51.9","#076969"
"26200","51.8","#076969"
"26250","51.5","#076969"
"26300","51.9","#076969"
"26350","51.9","#076969"
"26400","152","#AF550B"
"26450","243.8","#AF550B"
"26500","247.8","#AF550B"
"26550","243.7","#AF550B"
"26600","245.2","#AF550B"
"26650","245.2","#AF550B"
"26700","244.3","#AF550B"
"26750","246","#AF550B"
"26800","244.4","#AF550B"
"26850","244.6","#AF550B"
"26900","245.8","#AF550B"
"26950","245.2","#AF550B"
"27000","226.6","#AF550B"
"27050","219","#AF550B"
"27100","220.6","#AF550B"
"27150","221.5","#AF550B"
"27200","221.1","#AF550B"
"27250","221.5","#AF550B"
"27300","220.6","#AF550B"
"27350","219.9","#AF550B"
"27400","221.6","#AF550B"
"27450","219.6","#AF550B"
"27500","220.2","#AF550B"
"27550","220.3","#AF550B"
"27600","221.4","#AF550B"
"27650","221.2","#AF550B"
"27700","220.6","#AF550B"
"27750","219.9","#AF550B"
"27800","219.6","#AF550B"
"27850","219.9","#AF550B"
"27900","221.7","#AF550B"
"27950","221.8","#AF550B"
"28000","220.9","#AF550B"
"28050","225.2","#AF550B"
"28100","220.9","#AF550B"
"28150","220","#AF550B"
"28200","236.7","#AF550B"
"28250","219.9","#AF550B"
"28300","219.6","#AF550B"
"28350","241.8","#AF550B"
"28400","219.3","#AF550B"
"28450","220.8","#AF550B"
"28500","220.9","#AF550B"
"28550","222.4","#AF550B"
"28600","220.6","#AF550B"
"28650","221.8","#AF550B"
"28700","220","#AF550B"
"28750","220.9","#AF550B"
"28800","220.6","#AF550B"
