"count","volt","lineColor"
"0","3112","#AF0B0B"
"50","3127","#AF0B0B"
"100","3133","#AF0B0B"
"150","3127","#AF0B0B"
"200","3146","#AF0B0B"
"250","3145","#AF0B0B"
"300","3144","#AF0B0B"
"350","3138","#AF0B0B"
"400","3129","#AF0B0B"
"450","3140","#AF0B0B"
"500","3144","#AF0B0B"
"550","3146","#AF0B0B"
"600","3146","#AF0B0B"
"650","3146","#AF0B0B"
"700","3144","#AF0B0B"
"750","3145","#AF0B0B"
"800","3145","#AF0B0B"
"850","3146","#AF0B0B"
"900","3143","#AF0B0B"
"950","3145","#AF0B0B"
"1000","3136","#AF0B0B"
"1050","3131","#AF0B0B"
"1100","3133","#AF0B0B"
"1150","3131","#AF0B0B"
"1200","3131","#AF0B0B"
"1250","3133","#AF0B0B"
"1300","3206","#076969"
"1350","3244","#076969"
"1400","3243","#076969"
"1450","3243","#076969"
"1500","3244","#076969"
"1550","3244","#076969"
"1600","3243","#076969"
"1650","3244","#076969"
"1700","3244","#076969"
"1750","3244","#076969"
"1800","3243","#076969"
"1850","3242","#076969"
"1900","3243","#076969"
"1950","3244","#076969"
"2000","3245","#076969"
"2050","3244","#076969"
"2100","3244","#076969"
"2150","3244","#076969"
"2200","3243","#076969"
"2250","3244","#076969"
"2300","3245","#076969"
"2350","3244","#076969"
"2400","3243","#076969"
"2450","3244","#076969"
"2500","3245","#076969"
"2550","3243","#076969"
"2600","3245","#076969"
"2650","3243","#076969"
"2700","3244","#076969"
"2750","3243","#076969"
"2800","3245","#076969"
"2850","3243","#076969"
"2900","3245","#076969"
"2950","3244","#076969"
"3000","3243","#076969"
"3050","3243","#076969"
"3100","3243","#076969"
"3150","3244","#076969"
"3200","3244","#076969"
"3250","3243","#076969"
"3300","3243","#076969"
"3350","3243","#076969"
"3400","3244","#076969"
"3450","3244","#076969"
"3500","3244","#076969"
"3550","3244","#076969"
"3600","3244","#076969"
"3650","3243","#076969"
"3700","3244","#076969"
"3750","3243","#076969"
"3800","3243","#076969"
"3850","3243","#076969"
"3900","3245","#076969"
"3950","3243","#076969"
"4000","3244","#076969"
"4050","3243","#076969"
"4100","3244","#076969"
"4150","3244","#076969"
