"count","time","lineColor","label"
"8","50","","50"
"9","150","#098C09","150"
"10","100","#098C09","100"
"11","100","#098C09","100"
"12","100","#098C09","100"
"13","150","#098C09","150"
"14","100","#098C09","100"
"15","100","#098C09","100"
"16","250","#AF0B0B","250"
"17","4400","#076969","4400"
"18","1000","#AF550B","1000"
"19","300","#098C09","300"
"20","10000","#AF0B0B","10000"
"21","3900","#076969","3900"
"22","1000","#AF550B","1000"
"23","300","#098C09","300"
"24","10000","#AF0B0B","10000"
"25","3850","#076969","3850"
"26","1050","#AF550B","1050"
"27","300","#098C09","300"
"28","10000","#AF0B0B","10000"
"29","3900","#076969","3900"
"30","1050","#AF550B","1050"
"31","300","#098C09","300"
"32","10000","#AF0B0B","10000"
"33","3900","#076969","3900"
"34","1000","#AF550B","1000"
"35","300","#098C09","300"
"36","10000","#AF0B0B","10000"
"37","3900","#076969","3900"
"38","1050","#AF550B","1050"
"39","300","#098C09","300"
"40","10000","#AF0B0B","10000"
"41","3900","#076969","3900"
"42","1000","#AF550B","1000"
"43","300","#098C09","300"
"44","1950","#AF0B0B","1950"
